bucket index,bucket size
4,1
5,1
7,1
8,1
13,1
14,1
17,2
25,1
29,2
30,2
31,2
33,2
34,1
35,1
36,1
37,2
38,1
39,3
40,1
42,1
43,2
44,3
45,2
46,1
48,1
49,1
51,1
52,1
54,2
56,1
58,2
59,1
61,1
69,1
70,1
72,1
76,1
79,1
81,1
84,1
86,2
88,1
90,1
91,2
92,2
93,1
96,2
101,2
102,1
104,1
106,1
115,1
116,1
117,1
118,2
119,1
120,1
122,2
124,2
125,1
126,1
127,1
129,1
130,1
136,1
137,1
139,1
140,1
142,2
146,1
147,1
151,1
152,1
154,1
155,1
159,1
162,1
164,1
165,2
166,1
169,1
170,1
173,2
177,2
178,1
181,1
182,1
183,1
184,2
188,1
191,1
192,2
196,2
199,2
203,2
204,1
206,1
207,1
208,1
209,1
211,2
212,2
214,1
217,1
221,1
222,1
223,1
224,1
225,1
226,1
228,1
234,1
236,1
237,2
238,2
239,1
240,1
241,1
243,3
248,1
249,1
251,3
253,2
256,3
258,3
259,1
261,3
262,3
263,1
266,1
267,1
276,1
277,1
278,1
279,1
280,1
281,1
284,1
285,1
286,2
287,1
288,2
290,2
291,2
293,2
295,1
296,1
297,1
298,1
299,1
300,1
304,1
307,4
308,1
310,1
311,2
314,1
317,1
320,1
322,1
323,1
324,1
325,3
327,1
328,1
332,2
333,3
335,1
336,1
337,2
339,1
340,2
341,2
342,1
343,2
345,1
346,4
348,1
349,1
350,1
351,2
352,1
353,1
354,1
355,2
357,2
359,1
363,2
364,1
365,2
366,2
367,3
368,1
369,1
370,1
371,1
372,1
374,3
375,2
381,1
382,1
384,2
386,2
387,2
388,1
389,2
390,1
392,1
393,1
394,1
398,2
399,3
400,1
402,1
403,2
405,1
407,3
409,2
410,1
411,1
412,3
414,1
416,1
418,1
421,4
423,1
424,2
425,1
426,1
428,1
429,1
430,1
433,1
435,1
439,1
441,3
442,2
443,1
444,3
447,1
450,1
453,1
454,1
455,1
456,1
458,1
459,3
460,1
462,1
465,2
466,2
467,1
471,3
472,1
473,2
475,3
476,1
478,1
479,1
480,1
482,1
484,1
485,1
486,3
487,2
489,2
490,1
497,2
499,1
501,3
502,2
503,1
504,1
505,1
506,1
507,1
510,2
512,1
513,2
514,2
517,1
518,1
519,1
520,2
524,1
525,1
526,1
527,1
529,1
530,2
532,1
533,1
538,1
541,3
543,2
544,1
546,2
547,1
549,1
550,1
551,1
553,1
556,2
557,1
558,1
559,2
560,1
561,2
563,2
567,1
568,3
569,1
574,1
576,3
578,1
580,2
582,2
584,3
585,1
586,1
587,2
590,4
592,1
593,1
595,1
596,1
597,1
600,2
601,1
602,1
607,1
609,1
610,1
611,3
614,1
615,1
616,2
617,1
618,3
627,1
631,2
632,2
634,1
635,1
638,1
639,1
641,1
648,2
649,1
651,3
652,2
653,1
654,1
656,1
657,2
658,2
660,2
661,1
662,1
664,1
666,1
667,1
669,1
672,1
673,1
676,2
677,1
678,1
679,1
680,1
