bucket index,bucket size
2,6
4,1
5,1
6,3
9,1
10,2
11,1
12,1
13,2
14,2
18,1
20,1
25,1
27,2
28,1
31,2
32,2
34,1
35,1
37,1
38,1
39,1
42,1
43,2
44,1
45,1
48,1
51,1
52,1
55,1
57,1
58,2
60,1
64,1
67,1
68,1
69,1
70,2
73,1
74,2
75,1
78,1
80,3
82,1
83,1
84,2
86,1
87,1
88,3
90,1
91,2
92,3
93,2
95,3
96,3
98,1
99,2
100,1
102,3
104,3
105,1
106,1
107,1
108,2
113,3
114,2
115,2
117,1
119,1
121,1
123,1
124,3
125,1
128,1
131,1
133,1
135,1
140,2
142,1
147,1
148,3
152,4
157,1
158,1
161,2
162,1
164,1
166,1
167,1
169,1
173,2
174,1
175,1
180,1
183,1
186,1
187,1
188,1
190,1
192,1
193,1
196,1
198,2
199,1
200,1
202,3
204,1
205,1
206,1
208,1
211,1
212,3
213,3
216,1
217,1
218,1
222,1
223,1
224,2
226,2
227,1
231,1
234,1
235,2
236,2
242,3
244,1
250,1
253,1
254,3
255,2
256,1
259,1
260,1
263,1
268,2
272,1
274,2
275,1
277,1
279,3
281,1
282,1
286,1
292,1
293,2
295,2
296,1
300,3
301,1
302,1
304,3
305,1
306,1
308,3
310,1
311,1
313,4
314,3
315,2
316,2
317,1
319,1
320,4
322,2
323,2
326,2
328,1
330,3
332,1
335,1
336,2
337,1
339,2
340,2
341,3
343,1
345,4
346,1
347,1
349,2
350,3
353,1
357,1
361,1
362,2
363,1
364,2
365,3
366,2
367,5
368,1
371,1
373,1
374,2
376,2
378,1
379,3
383,1
385,1
386,1
388,2
389,1
390,1
391,1
393,1
394,1
396,2
399,2
400,1
404,1
410,2
411,1
412,3
413,2
414,2
415,1
417,1
418,2
419,1
420,1
421,1
423,1
424,1
425,1
426,2
428,2
430,1
431,1
432,1
435,1
436,1
439,1
441,1
442,1
445,1
446,2
448,2
449,2
450,1
451,2
453,2
455,1
458,1
459,1
461,3
463,2
465,1
466,1
467,1
472,1
476,1
479,1
481,1
484,2
485,2
490,1
492,1
493,2
494,1
495,1
498,1
501,1
502,3
503,3
504,1
506,2
510,1
512,2
513,1
514,1
516,2
518,1
519,1
520,1
521,1
523,2
524,2
525,2
526,1
528,3
529,1
533,2
535,1
538,1
539,2
542,2
544,1
545,1
546,1
547,1
548,2
550,1
551,2
552,2
553,1
555,2
558,1
559,1
560,1
562,1
566,2
568,1
569,3
570,1
571,1
572,2
574,1
575,2
577,1
581,1
583,1
585,1
590,1
591,1
594,1
595,1
597,1
598,1
600,2
601,3
603,1
604,1
605,1
606,1
607,1
608,1
609,2
611,2
613,2
615,1
618,1
620,1
621,1
622,2
624,1
625,1
626,2
629,1
632,1
633,2
635,1
638,1
640,1
641,3
643,2
645,1
646,1
647,2
649,1
650,2
652,2
657,1
663,2
664,1
665,1
669,2
672,2
674,1
675,1
676,1
677,1
679,1
681,2
687,1
688,2
693,2
695,4
700,2
702,1
703,1
704,1
705,1
706,2
707,1
709,1
710,2
711,3
712,2
714,1
715,2
716,1
719,1
721,1
722,2
723,1
724,2
725,1
726,1
727,4
730,2
733,5
736,2
738,2
739,2
741,1
742,1
743,2
744,1
745,2
746,1
747,2
748,2
749,1
750,1
751,1
752,1
754,1
755,4
757,1
759,4
761,1
763,1
765,2
768,1
769,1
770,1
771,2
773,7
774,2
780,2
781,1
784,1
785,1
786,2
793,1
794,1
795,1
804,1
805,1
808,2
809,2
813,1
818,1
819,2
821,3
824,3
826,1
827,1
829,2
834,1
835,3
836,1
837,2
840,2
841,3
843,1
844,3
847,1
850,1
851,1
852,1
853,1
854,2
855,1
856,1
858,1
859,2
863,3
865,1
866,1
867,1
869,2
870,2
871,1
873,1
875,3
877,1
881,2
882,1
886,1
890,1
892,1
894,1
895,1
896,8
898,1
900,4
904,1
905,2
906,4
907,1
909,1
910,1
911,2
912,2
915,1
918,1
922,2
927,1
928,1
931,1
936,1
937,2
938,1
941,2
944,1
945,1
946,2
947,1
949,1
950,1
951,1
952,2
953,2
954,1
955,1
956,1
957,1
958,1
960,1
961,3
963,2
964,3
967,2
968,1
971,1
972,1
974,1
976,1
978,4
979,1
980,2
982,1
983,1
984,3
985,1
991,1
992,1
994,1
995,1
996,1
998,2
1001,2
1002,1
1003,2
1005,2
1009,4
1011,1
1012,1
1013,1
1014,1
1017,1
1018,1
1021,1
1022,1
1023,4
1024,2
1025,1
1030,1
1032,1
1033,3
1035,1
1037,2
1038,3
1040,2
1041,2
1043,3
1046,1
1047,1
1049,1
1050,1
1052,2
1054,2
1055,1
1056,1
1059,2
1060,2
1062,3
1065,1
1066,1
1072,2
1073,1
1074,2
1076,1
1077,3
1078,1
1081,2
1083,5
1084,1
1087,1
1093,1
1097,1
1098,3
1100,1
1101,2
1103,1
1105,1
1107,1
1110,1
1112,2
1113,1
1117,1
1118,1
1123,1
1124,1
1126,1
1128,1
1129,3
1131,1
1132,1
1136,1
1145,2
1146,1
1149,1
1152,1
1157,1
1161,2
1162,1
1163,2
1166,2
1167,1
1169,1
1174,1
1176,1
1178,1
1179,1
1182,1
1185,1
1186,1
1189,1
1190,1
1191,1
1193,1
1194,1
1198,1
1201,1
1203,1
1204,2
1207,2
1208,4
1210,1
1213,1
1214,1
1216,1
1217,1
1219,3
1220,1
1222,1
1225,2
1229,3
1230,2
1232,2
1233,3
1236,1
1237,1
1238,1
1239,1
1240,1
1242,2
1244,1
1245,3
1246,1
1247,1
1248,2
1249,3
1250,1
1251,2
1253,1
1254,1
1255,1
1257,2
1258,3
1260,1
1261,1
1262,1
1263,2
1265,2
1266,3
1270,2
1271,1
1273,2
1274,1
1275,3
1286,1
1289,2
1290,2
1292,1
1294,1
1296,1
1298,1
1302,2
1303,1
1304,1
1307,1
1308,1
1310,1
1315,1
1316,1
1319,1
1324,1
1326,1
1329,2
1330,2
1334,1
1335,1
1336,5
1338,1
1339,1
1340,2
1343,4
1344,1
1345,2
1346,3
1347,1
1348,1
1350,1
1351,1
1354,1
1355,1
1356,1
1364,1
1365,1
1366,1
1369,1
1372,2
1373,1
1374,1
1376,2
1379,1
1380,1
1381,1
1382,1
1383,1
1388,2
1389,1
1391,1
1392,2
1394,1
1397,2
1399,2
1400,3
1401,3
1402,1
1404,2
1405,2
1407,1
1408,1
1416,1
1417,1
1419,1
1420,1
1423,1
1425,1
1427,1
1432,1
1436,1
1437,1
1439,2
1440,1
1441,1
1449,3
1450,1
1453,1
1456,3
1457,1
1458,1
1459,2
1460,2
1467,1
1469,2
1470,1
1472,1
1474,2
1475,3
1476,1
1477,3
1479,1
1480,1
1481,2
1483,1
1486,1
1488,1
1489,4
1490,1
1492,1
1493,1
1501,2
1502,1
1503,2
1509,1
1510,1
1511,1
1514,1
1515,1
1516,1
1517,2
1518,1
1519,1
1521,1
1522,3
1531,1
1539,2
1540,1
1544,2
1545,1
1546,1
1547,3
1548,2
1549,2
1553,1
1554,2
1556,2
1557,1
1560,1
1561,1
1564,1
1565,3
1566,1
1567,1
1568,1
1569,2
1570,1
1571,2
1573,1
1582,2
1583,3
1584,3
1587,2
1588,1
1590,2
1591,1
1592,3
1593,1
1594,2
1595,1
1596,2
1598,1
1600,3
1602,3
1607,1
1610,3
1611,1
1612,3
1619,2
1620,2
1623,1
1624,1
1627,2
1628,3
1629,1
1632,2
1634,2
1635,3
1636,1
1637,1
1638,1
1642,1
1645,1
1647,2
1651,1
1652,1
1653,1
1654,1
1657,1
1664,1
1665,1
1668,1
1669,2
1671,1
1672,2
1673,1
1676,2
1680,1
1682,1
1683,1
1688,1
1689,2
1691,1
1694,1
1697,1
1698,1
1700,2
1701,1
1702,1
1703,1
1704,2
1705,1
1706,1
1707,1
1708,1
1710,2
1712,2
1713,2
1715,1
1716,1
1717,1
1718,1
1719,1
1720,1
1721,4
1722,1
1724,1
1728,1
1729,1
1732,1
1734,2
1737,1
1738,1
1739,2
1740,2
1741,3
1742,1
1743,1
1744,1
1746,1
1750,1
1753,2
1755,3
1756,2
1759,1
1761,1
1763,1
1765,2
1766,1
1768,2
1772,1
1773,1
1774,1
1775,1
1777,1
1785,1
1787,1
1788,1
1791,1
1795,1
1797,1
1799,1
1810,1
1812,2
1814,1
1815,1
1816,1
1817,3
1818,1
1819,1
1822,2
1823,2
1824,1
1826,1
1829,1
1831,1
1832,4
1833,1
1835,1
1836,1
1837,1
1840,1
1841,1
1844,1
1850,2
1852,1
1857,2
1859,2
1860,1
1866,1
1869,1
1870,1
1871,1
1873,1
1874,1
1877,1
1881,1
1883,1
1889,1
1890,1
1891,1
1892,2
1894,3
1895,3
1896,2
1899,1
1902,1
1903,1
1908,1
1911,1
1913,1
1914,2
1916,1
1917,1
1920,1
1921,1
1923,1
1924,1
1925,1
1928,1
1929,2
1931,1
1932,1
1935,1
1936,1
1938,2
1939,1
1941,1
1945,2
1947,1
1948,2
1949,1
1950,2
1952,1
1956,1
1957,1
1958,1
1965,2
1967,2
1969,1
1970,1
1971,2
1973,2
1974,1
1975,1
1976,2
1977,1
1979,1
1982,1
1984,1
1985,2
1987,2
1990,1
1991,2
1994,1
1996,2
1998,1
2001,1
2002,1
2003,2
2004,1
2005,1
2006,1
2007,1
2008,1
2011,2
2014,1
2017,2
2025,1
2027,1
2028,1
2030,1
2033,1
2034,2
2035,1
2039,1
2040,1
2041,1
2043,1
2044,2
2046,1
2047,1
2048,1
2049,2
2050,6
2053,4
2054,1
2055,1
2057,3
2059,2
2060,1
2061,1
2064,1
2065,2
2066,2
2067,1
2068,1
2069,1
2070,1
2071,3
2072,2
2073,1
2075,1
2076,2
2078,1
2081,1
2082,2
2086,1
2089,1
2090,1
2092,3
2096,1
2098,1
2099,1
2104,1
2105,2
2106,2
2107,3
2109,3
2110,2
2111,3
2113,1
2115,1
2119,1
2120,1
2124,1
2125,1
2129,1
2132,1
2133,1
2138,2
2143,3
2144,1
2146,1
2151,1
2152,1
2153,2
2154,2
2156,1
