bucket index,bucket size
4,1
10,1
18,5
42,1
48,1
50,1
58,1
64,1
72,3
80,1
88,1
108,1
110,1
112,1
114,1
118,2
124,3
128,1
138,1
148,2
150,1
160,1
162,1
178,2
186,1
198,1
200,3
202,1
204,3
206,1
208,1
210,1
232,1
236,1
240,1
242,1
246,1
250,1
254,1
256,3
258,4
260,1
262,3
264,4
266,2
268,3
272,1
274,5
276,1
278,2
280,1
282,2
284,1
290,1
292,1
294,3
296,2
300,1
302,3
306,1
308,3
310,2
312,1
314,3
316,1
318,1
320,2
322,9
324,2
326,1
328,7
330,1
332,4
334,3
336,1
338,2
340,2
342,1
344,2
346,4
348,2
350,1
352,4
354,2
356,2
358,2
360,1
362,2
364,3
366,1
368,2
370,3
372,1
374,2
376,2
378,5
382,5
386,1
392,1
394,2
400,1
404,1
408,3
412,1
414,1
422,2
424,3
426,1
430,1
434,2
444,1
446,1
452,2
456,1
462,1
466,1
468,1
474,1
476,1
490,1
492,1
494,2
506,1
510,1
512,4
514,11
516,10
518,5
520,9
522,9
524,9
526,9
528,8
530,6
532,6
534,5
536,3
538,6
540,7
542,7
544,11
546,12
548,7
550,7
552,8
554,11
556,12
558,7
560,10
562,6
564,6
566,9
568,4
570,13
572,9
574,12
576,4
578,5
580,7
582,7
584,10
586,10
588,6
590,11
592,4
594,3
596,4
598,5
600,9
602,9
604,9
606,5
608,6
610,6
612,9
614,5
616,9
618,10
620,10
622,5
624,7
626,9
628,8
630,6
632,14
634,7
636,10
638,7
640,2
642,2
644,1
646,2
648,2
650,4
652,1
654,4
656,3
658,3
660,3
662,4
664,2
666,5
668,2
670,5
672,1
674,5
676,1
678,3
682,2
684,6
686,3
688,2
690,4
692,3
696,3
698,5
700,4
702,6
704,10
706,7
708,9
710,6
712,5
714,8
716,8
718,9
720,1
722,5
724,9
726,5
728,5
730,7
732,5
734,3
736,6
738,4
740,7
742,6
744,7
746,8
748,9
750,9
752,2
754,7
756,10
758,3
760,5
762,7
764,9
766,5
776,4
786,3
792,1
794,1
796,2
798,1
810,1
814,2
816,1
820,1
822,1
824,3
830,4
834,2
836,1
838,1
840,4
850,1
858,2
860,1
866,1
878,1
882,1
886,1
894,1
896,2
902,1
904,2
906,3
910,1
920,1
930,3
936,1
956,1
958,2
960,1
962,1
968,1
978,1
986,6
990,2
994,2
1004,1
1006,1
1010,1
1016,2
1018,1
1022,2
1024,12
1026,11
1028,5
1030,5
1032,11
1034,14
1036,5
1038,8
1040,9
1042,18
1044,15
1046,3
1048,8
1050,8
1052,15
1054,10
1056,6
1058,11
1060,9
1062,6
1064,14
1066,9
1068,15
1070,12
1072,8
1074,17
1076,17
1078,9
1080,17
1082,12
1084,13
1086,10
1088,11
1090,14
1092,8
1094,7
1096,12
1098,13
1100,9
1102,7
1104,8
1106,18
1108,8
1110,9
1112,11
1114,12
1116,11
1118,9
1120,12
1122,11
1124,10
1126,5
1128,8
1130,7
1132,10
1134,5
1136,7
1138,15
1140,10
1142,8
1144,7
1146,13
1148,11
1150,10
1152,9
1154,15
1156,7
1158,9
1160,16
1162,6
1164,13
1166,9
1168,6
1170,21
1172,14
1174,11
1176,9
1178,10
1180,5
1182,7
1184,13
1186,9
1188,14
1190,8
1192,8
1194,15
1196,9
1198,6
