bucket index,bucket size
0,1
2,1
4,2
6,1
8,1
9,2
10,2
11,2
13,1
15,1
17,1
22,1
26,1
27,1
28,2
32,30
33,38
34,31
35,25
36,32
37,22
38,39
39,37
40,32
41,34
42,18
43,27
44,22
45,13
46,20
47,22
48,1
49,1
59,1
65,1
68,2
73,1
76,1
80,1
81,1
82,2
84,1
87,1
88,1
89,1
90,1
93,1
96,1
97,1
104,2
105,1
111,1
112,2
113,1
115,1
116,2
117,1
119,1
121,1
123,1
127,2
128,6
129,2
130,3
132,3
134,2
135,1
136,3
138,2
140,3
141,2
143,3
147,1
152,1
153,1
156,1
157,1
158,1
163,2
164,1
174,1
176,1
177,2
179,2
180,3
181,1
183,1
184,2
187,1
189,1
190,1
192,1
193,3
194,1
196,1
198,2
199,1
200,1
202,1
204,1
209,1
214,1
221,1
224,6
225,9
226,2
227,3
228,3
229,2
230,2
231,3
232,3
233,5
234,1
235,1
236,2
237,2
238,1
239,1
247,1
249,1
251,1
256,1
257,1
260,4
264,1
265,3
267,3
268,1
269,1
274,2
275,1
278,1
281,1
287,1
289,1
290,1
291,1
292,1
296,1
297,3
301,1
303,1
304,2
305,3
306,1
307,2
308,2
310,1
313,3
314,1
315,2
317,2
318,1
322,1
327,1
328,1
345,1
346,1
353,3
355,2
356,3
358,1
359,2
361,1
362,1
365,1
366,1
370,1
372,1
375,1
382,1
383,1
387,1
393,1
396,1
400,1
401,7
402,6
403,5
404,2
405,1
406,4
407,6
408,4
409,5
410,2
411,4
412,1
413,5
414,2
415,4
417,1
422,1
425,1
436,1
437,1
448,1
452,1
455,1
465,2
467,1
468,1
469,1
477,1
479,1
480,2
481,3
482,4
484,2
486,1
487,1
488,3
489,1
490,2
493,2
499,1
505,1
508,1
513,2
515,1
517,1
521,1
525,1
529,1
531,1
532,1
533,1
535,1
536,2
537,3
541,1
542,2
545,1
550,1
551,1
552,1
553,1
560,1
562,3
571,1
573,1
576,5
577,3
578,7
579,3
580,4
582,1
584,2
585,4
586,1
587,2
589,2
592,1
593,1
597,1
599,1
600,2
608,1
612,1
624,1
628,2
629,2
632,3
634,2
637,2
638,1
639,1
645,1
649,1
651,1
654,1
656,3
657,3
658,1
659,2
660,1
662,1
664,3
666,1
668,2
669,2
671,1
675,1
676,1
680,1
681,1
684,1
701,2
704,1
705,2
712,3
713,1
716,1
717,1
718,1
727,1
736,2
737,1
743,1
745,1
746,1
747,1
752,6
753,13
754,5
755,5
756,6
757,1
758,2
759,1
760,1
761,5
762,1
765,6
766,2
767,2
769,2
772,1
776,1
777,1
779,1
780,1
781,1
783,2
784,1
789,1
790,1
791,1
793,1
797,1
800,1
804,1
805,1
808,1
809,3
811,1
813,1
830,1
841,1
843,1
845,1
856,1
862,1
865,1
868,1
869,1
871,1
875,1
876,1
878,1
880,2
881,1
883,2
884,1
887,1
890,1
892,3
893,1
894,1
899,2
905,2
914,1
916,2
920,1
922,1
925,1
928,3
929,8
930,2
931,1
932,1
933,3
934,2
935,6
937,1
938,1
940,1
941,4
943,4
944,1
948,1
955,1
956,1
958,1
959,1
961,1
977,1
979,1
985,1
986,1
987,1
989,1
993,1
995,1
1003,1
1009,1
1013,1
1017,1
1024,1
1025,4
1026,4
1027,1
1028,6
1029,1
1030,2
1031,1
1032,2
1033,3
1034,1
1035,2
1037,1
1038,1
1039,2
1040,2
1043,1
1047,1
1048,1
1052,1
1053,1
1056,2
1058,1
1060,1
1063,1
1064,1
1065,2
1067,3
1071,1
1075,1
1076,3
1080,1
1097,2
1101,1
1103,1
1104,5
1105,7
1106,5
1107,1
1108,3
1109,4
1110,3
1111,6
1112,8
1113,2
1114,1
1115,2
1116,3
1117,4
1118,5
1119,2
1120,1
1123,1
1137,1
1138,1
1140,2
1141,1
1144,1
1147,1
1149,1
1152,1
1155,4
1157,2
1162,1
1163,1
1165,2
1167,2
1168,1
1169,3
1171,1
1173,1
1178,1
1179,1
1180,1
1184,1
1191,1
1195,1
1198,1
1200,2
1201,3
1203,5
1204,2
1205,3
1206,3
1207,6
1208,3
1209,3
1210,1
1211,1
1212,2
1213,2
1214,1
1215,1
1217,1
1219,1
1220,1
1224,1
1227,1
1228,1
1236,2
1240,1
1245,1
1258,1
1260,1
1265,2
1272,1
1273,1
1277,1
1279,1
1280,5
1281,8
1282,2
1283,3
1284,1
1285,5
1286,4
1287,2
1288,2
1289,2
1292,3
1293,4
1295,2
1297,1
1299,1
1307,1
1315,1
1316,1
1320,1
1324,1
1325,2
1334,1
1341,1
1347,1
1348,1
1349,1
1353,1
1355,1
1359,1
1376,2
1377,2
1378,2
1379,3
1380,3
1381,1
1382,1
1383,2
1384,4
1386,1
1388,1
1390,1
1391,1
1395,1
1396,1
1399,1
1400,3
1402,1
1408,2
1416,1
1424,2
1425,4
1427,1
1428,3
1430,1
1432,2
1433,2
1435,1
1437,2
1439,1
1441,1
1446,1
1448,1
1449,1
1451,1
1453,1
1456,6
1457,10
1458,5
1459,4
1460,3
1461,5
1462,6
1463,6
1464,4
1465,6
1466,1
1467,1
1468,2
1469,1
1470,4
1471,3
1472,1
1474,1
1481,1
1485,2
1488,2
1492,4
1496,1
1499,1
1501,1
1507,1
1511,2
1512,1
1514,1
1525,1
1528,1
1533,1
1534,1
1536,2
1537,1
1540,3
1542,1
1545,1
1546,1
1552,1
1553,4
1554,2
1555,3
1556,3
1558,2
1559,4
1560,1
1561,2
1563,2
1565,1
1567,1
1569,1
1572,2
1573,1
1574,1
1576,2
1579,1
1580,2
1581,1
1582,1
1591,1
1598,1
1599,1
1600,3
1604,1
1606,3
1607,1
1608,1
1611,2
1614,2
1615,3
1624,1
1625,1
1626,1
1629,1
1632,1
1636,2
1640,1
1649,1
1659,1
1660,1
1665,1
1668,1
1670,2
1673,1
1679,1
1680,3
1685,1
1687,4
1688,1
1692,1
1693,1
1697,1
1700,1
1709,1
1713,1
1714,1
1715,1
1716,1
1724,1
1725,1
1728,7
1729,3
1730,1
1731,3
1732,6
1734,1
1735,5
1736,6
1737,3
1738,1
1740,2
1741,1
1743,2
1753,1
1760,1
1764,1
1769,1
1772,1
1776,1
1778,1
1780,1
1784,3
1793,1
1796,1
1800,4
1801,1
1802,1
1808,1
1809,1
1812,2
1814,1
1815,1
1820,1
1821,1
1824,12
1825,14
1826,7
1827,9
1828,10
1829,6
1830,4
1831,3
1832,7
1833,13
1834,2
1835,10
1836,3
1837,3
1838,2
1839,3
1844,3
1854,2
1856,2
1862,1
1864,2
1867,1
1869,1
1870,3
1872,2
1875,1
