bucket index,bucket size
0,1
97,6
98,1
99,4
100,2
101,7
102,3
103,3
104,3
105,2
106,1
107,1
108,2
109,2
110,2
111,6
112,2
113,2
114,4
115,6
116,6
117,1
118,2
120,3
121,4
122,2
194,1
195,10
196,3
197,15
198,5
199,4
200,18
201,9
202,11
203,6
204,15
205,15
206,23
207,13
208,17
209,33
210,13
211,33
212,22
213,32
214,24
215,41
216,20
217,44
218,20
219,15
220,35
221,34
222,16
223,13
224,5
225,14
226,13
227,26
228,4
229,16
230,19
231,11
232,9
233,11
234,1
235,6
236,1
237,4
238,2
239,1
241,1
292,1
293,1
294,2
296,2
297,7
298,13
299,1
300,8
301,12
302,19
303,11
304,15
305,30
306,42
307,30
308,32
309,25
310,56
311,50
312,70
313,32
314,70
315,41
316,83
317,60
318,61
319,56
320,65
321,81
322,68
323,51
324,85
325,47
326,73
327,68
328,61
329,51
330,46
331,48
332,63
333,40
334,53
335,36
336,45
337,23
338,45
339,18
340,29
341,24
342,29
343,12
344,20
345,8
346,11
347,14
348,15
349,5
350,1
351,4
352,5
353,2
354,5
355,1
356,1
358,1
361,2
362,1
364,1
371,1
372,1
374,1
391,1
396,1
397,2
398,5
399,3
400,4
401,11
402,5
403,3
404,16
405,21
406,15
407,13
408,11
409,21
410,26
411,32
412,39
413,35
414,52
415,55
416,74
417,53
418,84
419,65
420,81
421,78
422,77
423,58
424,87
425,60
426,88
427,68
428,131
429,88
430,107
431,90
432,98
433,65
434,72
435,96
436,90
437,72
438,108
439,71
440,60
441,66
442,85
443,50
444,71
445,55
446,69
447,27
448,63
449,23
450,46
451,31
452,32
453,33
454,34
455,15
456,30
457,21
458,22
459,17
460,10
461,12
462,17
463,3
464,8
465,5
466,6
467,1
468,4
469,9
470,7
471,1
474,2
476,3
478,3
479,1
480,3
481,1
482,2
483,2
484,1
485,1
486,4
487,1
488,3
492,1
493,1
494,3
496,2
497,2
498,5
499,4
500,2
501,6
502,9
503,4
504,9
505,6
506,13
507,7
508,27
509,14
510,28
511,25
512,38
513,35
514,34
515,39
516,53
517,50
518,70
519,54
520,73
521,61
522,89
523,74
524,68
525,88
526,105
527,95
528,92
529,102
530,115
531,110
532,143
533,131
534,98
535,112
536,129
537,121
538,136
539,130
540,123
541,121
542,143
543,125
544,108
545,104
546,90
547,108
548,96
549,92
550,82
551,90
552,102
553,70
554,75
555,56
556,67
557,50
558,72
559,47
560,45
561,44
562,50
563,43
564,32
565,26
566,16
567,26
568,25
569,17
570,23
571,26
572,10
573,12
574,10
575,13
576,8
577,13
578,7
579,9
580,9
581,5
582,5
583,10
584,6
585,6
586,5
587,4
588,3
589,3
590,2
591,4
592,1
593,3
594,8
595,3
596,3
597,3
598,2
599,5
600,4
601,3
602,1
603,3
604,8
605,5
606,7
607,7
608,11
609,7
610,12
611,8
612,15
613,21
614,26
615,34
616,31
617,31
618,31
619,33
620,52
621,50
622,52
623,42
624,52
625,72
626,79
627,73
628,76
629,95
630,106
631,89
632,117
633,108
634,121
635,113
636,109
637,121
638,124
639,145
640,113
641,151
642,131
643,155
644,155
645,137
646,141
647,162
648,131
649,142
650,119
651,143
652,126
653,145
654,119
655,123
656,119
657,132
658,96
659,123
660,110
661,83
662,76
663,77
664,85
665,61
666,85
667,73
668,54
669,58
670,46
671,47
672,49
673,51
674,33
675,28
676,27
677,36
678,22
679,24
680,16
681,18
682,16
683,10
684,13
685,8
686,12
687,13
688,11
689,9
690,9
691,5
692,7
693,9
694,9
695,3
696,3
697,2
698,2
699,8
700,4
701,7
702,6
703,5
704,5
705,8
706,2
707,1
708,7
709,7
710,5
711,6
712,11
713,8
714,11
715,10
716,17
717,22
718,18
719,26
720,26
721,28
722,18
723,35
724,34
725,42
726,41
727,50
728,39
729,52
730,58
731,60
732,64
733,75
734,74
735,81
736,96
737,110
738,105
739,87
740,115
741,114
742,116
743,126
744,116
745,129
746,112
747,133
748,126
749,154
750,112
751,143
752,153
753,132
754,131
755,148
756,140
757,125
758,126
759,125
760,135
761,135
762,131
763,133
764,121
765,107
766,105
767,93
768,104
769,112
770,86
771,97
772,94
773,95
774,84
775,75
776,59
777,57
778,50
779,44
780,39
781,61
782,44
783,32
784,41
785,23
786,38
787,32
788,24
789,27
790,17
791,23
792,16
793,18
794,22
795,11
796,13
797,20
798,9
799,9
800,12
801,10
802,5
803,8
804,10
805,8
806,4
807,7
808,2
809,6
810,10
811,4
812,7
813,5
814,7
815,4
816,9
817,8
818,1
819,8
820,7
821,13
822,18
823,13
824,8
825,22
826,19
827,26
828,30
829,31
830,26
831,28
832,31
833,37
834,38
835,43
836,59
837,43
838,53
839,48
840,79
841,78
842,74
843,78
844,85
845,91
846,85
847,79
848,92
849,111
850,98
851,121
852,104
853,107
854,114
855,136
856,122
857,97
858,140
859,128
860,126
861,140
862,119
863,127
864,126
865,119
866,123
867,126
868,125
869,125
870,128
871,105
872,120
873,98
874,115
875,84
876,99
877,91
878,106
879,95
880,85
881,66
882,86
883,84
884,71
885,73
886,47
887,56
888,46
889,44
890,46
891,33
892,36
893,37
894,37
895,33
896,36
897,23
898,30
899,34
900,26
901,22
902,13
903,18
904,22
905,14
906,15
907,9
908,14
909,13
910,13
911,4
912,3
913,9
914,10
915,10
916,8
917,7
918,6
919,9
920,6
921,3
922,8
923,12
924,10
925,8
926,9
927,9
928,11
929,10
930,13
931,11
932,16
933,14
934,17
935,24
936,18
937,29
938,16
939,13
940,23
941,26
942,29
943,32
944,38
945,44
946,45
947,49
948,52
949,47
950,62
951,78
952,72
953,78
954,73
955,72
956,79
957,75
958,78
959,81
960,94
961,93
962,103
963,109
964,89
965,87
966,88
967,93
968,84
969,85
970,82
971,85
972,116
973,111
974,104
975,111
976,107
977,120
978,104
979,84
980,92
981,90
982,83
983,76
984,105
985,90
986,77
987,87
988,80
989,71
990,66
991,55
992,58
993,67
994,58
995,53
996,44
997,47
998,41
999,35
1000,40
1001,39
1002,32
1003,40
