bucket index,bucket size
4,1
8,1
17,2
25,1
29,1
30,1
31,1
34,1
36,1
37,1
38,1
39,3
40,1
43,1
44,1
45,1
46,1
48,1
49,1
52,1
54,2
58,2
59,1
61,1
69,1
70,1
76,1
79,1
81,1
90,1
92,2
96,1
102,1
104,1
117,1
118,2
119,1
120,1
124,1
125,1
126,1
127,1
139,1
146,1
151,1
152,1
154,1
155,1
162,1
165,1
166,1
169,1
170,1
177,1
183,1
184,1
188,1
191,1
192,2
196,1
199,1
203,1
204,1
206,1
207,1
208,1
209,1
212,1
214,1
221,1
224,1
225,1
226,1
234,1
236,1
237,1
239,1
240,1
243,2
248,1
249,1
251,2
253,2
256,3
258,1
259,1
261,3
263,1
276,1
278,1
284,1
285,1
286,1
287,1
288,1
290,2
297,1
299,1
307,2
308,1
311,2
317,1
320,1
323,1
324,1
325,3
332,1
333,1
335,1
336,1
337,1
340,2
341,1
345,1
346,2
349,1
350,1
351,1
354,1
357,1
359,1
363,2
365,1
367,2
368,1
370,1
371,1
374,1
381,1
384,1
386,1
387,1
388,1
389,2
390,1
392,1
393,1
399,1
400,1
402,1
403,1
409,1
411,1
412,1
414,1
416,1
421,2
423,1
424,1
425,1
428,1
429,1
430,1
435,1
443,1
444,3
447,1
450,1
453,1
454,1
455,1
456,1
458,1
459,1
462,1
465,2
466,1
475,2
478,1
480,1
485,1
486,1
487,2
489,1
490,1
497,2
501,2
502,2
503,1
504,1
506,1
513,1
514,2
518,1
519,1
520,1
524,1
526,1
529,1
530,1
532,1
533,1
538,1
541,2
546,2
549,1
550,1
551,1
553,1
556,2
557,1
559,1
560,1
561,1
563,1
568,2
576,2
578,1
580,2
582,2
584,1
586,1
587,1
590,3
593,1
595,1
597,1
600,2
601,1
607,1
609,1
610,1
611,2
614,1
616,1
617,1
627,1
631,2
634,1
639,1
641,1
648,1
651,1
654,1
656,1
657,2
658,1
660,2
661,1
662,1
669,1
672,1
676,2
678,1
682,1
684,1
692,1
693,1
694,1
697,1
699,1
702,1
703,1
708,1
709,1
712,1
720,2
722,1
724,2
725,1
728,1
731,2
735,1
738,1
749,1
754,1
757,2
758,2
762,1
764,2
768,1
769,1
770,1
773,1
779,3
782,1
785,1
786,2
790,1
799,1
803,1
804,2
806,1
810,1
813,1
819,1
821,1
822,1
828,1
829,2
831,1
836,1
837,1
842,2
846,1
849,1
851,1
858,3
862,1
866,1
868,1
871,1
874,1
888,1
890,1
892,1
896,1
897,2
898,1
899,1
900,1
903,1
904,1
905,1
906,1
908,3
909,1
911,1
915,1
918,1
921,1
924,1
930,1
933,1
937,1
939,1
940,1
941,1
946,2
952,1
954,1
957,2
965,1
967,1
968,1
978,1
984,1
988,1
994,2
999,1
1005,1
1009,1
1010,1
1011,2
1016,1
1018,1
1019,2
1023,1
1028,1
1032,3
1034,1
1035,1
1036,1
1038,2
1040,1
1044,1
1045,1
1048,1
1049,1
1052,1
1055,1
1058,1
1060,2
1063,1
1069,1
1070,1
1071,1
1072,1
1075,1
1083,1
1086,1
1087,1
1092,1
1093,1
1097,1
1106,1
1111,1
1112,1
1118,1
1121,1
1122,1
1124,1
1130,1
1131,1
1132,1
1133,1
1137,1
1141,1
1144,3
1145,1
1146,1
1154,1
1158,1
1165,1
1168,1
1169,1
1171,1
1176,1
1177,1
1182,2
1187,1
1191,1
1192,1
1197,1
1199,1
1207,1
1213,1
1218,1
1222,1
1224,1
1225,1
1227,1
1231,1
1232,2
1236,1
1238,1
1239,1
1240,1
1241,1
1245,1
1249,1
1251,1
1252,2
1255,1
1256,1
1263,1
1264,1
1269,1
1275,1
1278,2
1280,1
1282,1
1283,1
1287,1
1292,1
1302,1
1305,3
1308,1
1311,1
1315,1
1316,1
1318,2
1319,1
1326,1
1331,2
1333,1
1336,2
1340,1
1343,2
1344,1
1345,1
1349,1
1350,2
1353,1
1361,1
1363,1
1372,1
1374,1
1375,1
1383,1
1386,1
1388,1
1389,1
1391,1
1392,1
1395,1
1405,1
1411,2
1415,1
1417,1
1418,1
1431,1
1441,2
1451,2
1452,1
1454,1
1459,1
1460,1
1462,1
1465,2
1467,1
1471,1
1472,1
1478,1
1483,1
1485,1
1489,3
1496,1
1498,1
1506,2
1507,1
1509,1
1511,1
1514,1
1518,2
1521,1
1524,1
1526,2
1529,1
1531,2
1535,1
1538,1
1540,1
1542,2
1547,1
1551,1
1552,1
1555,1
1559,1
1568,1
1569,2
1573,1
1574,1
1584,2
1588,2
1594,1
1596,1
1598,1
1603,1
1606,1
1608,1
1609,1
1610,1
1612,1
1613,1
1615,1
1618,1
1619,1
1621,1
1628,1
1632,1
1636,2
1637,2
1638,1
1639,2
1640,1
1642,1
1643,1
1644,1
1653,2
1656,1
1660,1
1662,1
1670,1
1671,1
1677,2
1678,1
1679,1
1680,1
1683,1
1697,1
1700,1
1703,1
1705,1
1710,2
1712,1
1713,2
1715,1
1722,2
1723,1
1726,1
1728,1
1734,1
1735,2
1738,1
1739,1
1744,1
1750,2
1752,1
1759,1
1763,2
1764,2
1771,1
1772,1
1774,2
1779,1
1783,2
1784,1
1789,1
1790,2
1793,2
1797,1
1801,1
1802,1
1809,1
1813,1
1817,1
1818,1
1822,1
1827,1
1829,1
1830,2
1833,1
1835,1
1836,1
1840,1
1849,1
1853,1
1856,1
1858,1
1861,3
1868,1
1870,1
1872,2
1876,1
1884,1
1887,1
1888,1
1890,1
1891,2
1892,3
1893,1
1895,1
1896,1
1899,2
1903,1
1905,1
1907,1
1916,1
1917,1
1918,1
1919,2
1921,1
1922,1
1925,1
1927,1
1929,1
1943,1
1946,1
1948,1
1953,2
1958,2
1961,1
1962,1
1965,1
1969,1
1970,1
1974,1
1976,1
1979,1
1981,1
1983,1
1986,1
1988,1
1992,1
1993,1
1996,1
2001,1
2006,2
2009,1
2010,1
2011,1
2014,2
2015,1
2018,1
2019,2
2025,2
2027,1
2028,1
2030,1
2031,1
2036,1
2043,1
2044,2
2050,1
2051,1
2055,1
2058,3
2062,1
2065,2
2068,1
2076,1
2082,1
2083,1
2084,1
2088,1
2091,1
2092,1
2093,1
2097,1
2098,1
2103,1
2106,1
2109,1
2111,1
2116,1
2118,1
2122,2
2124,1
2127,1
2129,1
2130,1
2131,1
2133,1
2134,1
2138,1
2143,1
2144,1
2147,2
2150,1
2151,1
2157,2
2165,1
2167,1
2168,1
2172,1
2173,1
2196,1
2201,1
2203,1
2205,1
2206,1
2208,1
2215,1
2216,1
2220,1
2221,1
2223,1
2224,2
2225,1
2230,1
2234,1
2235,1
2237,1
2245,1
2246,1
2248,1
2249,1
2261,1
2263,1
2271,1
2272,1
2273,1
2276,1
2277,1
2278,1
2279,1
2280,1
2283,1
2286,2
2289,2
2292,1
2293,2
2295,1
2298,1
2311,1
2314,1
2315,2
2317,1
2318,1
2322,1
2323,3
2326,1
2327,2
2333,1
2335,1
2340,1
2349,1
2351,1
2355,1
2357,1
2359,1
2362,1
2366,1
2369,1
2372,1
2374,1
2375,1
2376,1
2377,1
2380,1
2381,1
2383,1
2385,2
2386,1
2387,1
2391,1
2392,2
2404,1
2408,1
2409,1
2410,1
2412,1
2418,1
2419,1
2420,1
2421,1
2425,1
2427,1
2429,1
2430,2
2434,1
2435,1
2438,1
2442,1
2445,1
2446,1
2451,1
2456,1
2458,1
2459,2
2466,2
2468,1
2471,1
2472,2
2474,1
2478,1
2480,2
2483,1
2486,1
2489,1
2493,2
2499,1
2500,1
2501,1
2508,1
2511,1
2514,1
2521,1
2523,1
2532,1
2533,1
2534,1
2536,1
2539,1
2540,2
2543,1
2544,1
2550,1
2551,1
2552,1
2554,1
2555,1
2564,1
2569,2
2570,1
2579,1
2580,1
2584,1
2586,1
2588,2
2589,1
2591,1
2594,1
2595,1
2596,1
2597,1
2602,3
2604,3
2612,2
2620,1
2626,1
2630,1
2631,1
2643,1
2647,1
2649,1
2650,1
2652,2
2654,1
2655,1
2658,1
2659,1
2663,1
2666,1
2669,1
2671,2
2672,2
2673,1
2677,1
2679,1
2685,1
2687,1
2690,1
2692,1
2694,1
2698,1
2700,2
2703,2
2706,1
2708,1
2711,1
2713,1
2714,1
2716,1
2717,1
2718,1
2719,1
2720,1
2724,1
2730,1
2731,1
2736,1
2742,2
2744,1
2745,1
2748,1
2749,1
2751,1
2759,1
2764,1
2767,2
2776,1
2779,2
2786,2
2791,1
2794,1
2800,1
2801,1
2803,3
2805,2
2811,1
2813,2
2815,1
2817,1
2818,1
2819,1
2826,2
2829,1
2831,1
2833,1
2834,1
2836,1
2838,2
2840,2
2845,1
2848,1
2854,3
2856,1
2858,1
2861,2
2862,1
2863,1
2868,1
2870,1
2872,1
2874,2
2876,1
2878,2
2884,1
2885,1
2892,1
2895,1
2899,1
2901,2
2904,1
2906,1
2912,1
2915,1
2927,1
2929,1
2930,1
2938,1
2940,1
2941,1
2942,1
2943,1
2947,1
2949,1
2950,1
2951,1
2959,1
2960,1
2968,1
2969,1
2971,2
2973,1
2974,1
2975,1
2978,1
2987,1
2989,1
2990,2
2991,1
2996,1
2997,1
3000,1
3005,1
3010,2
3011,1
3012,1
3014,1
3016,1
3023,1
3025,1
3027,1
3029,1
3030,2
3038,1
3043,3
3044,1
3049,1
3051,1
3057,2
3060,1
3065,2
3066,1
3069,1
3072,1
3077,1
3079,1
3084,2
3086,1
3091,1
3097,1
3101,1
3102,1
3103,1
3109,1
3110,1
3112,1
3116,2
3117,1
3118,1
3120,1
3122,1
3125,1
3126,1
3132,1
3133,2
3134,2
3140,1
3141,1
3142,2
3145,2
3148,1
3150,1
3153,2
3155,1
3159,1
3164,1
3166,1
3167,1
3173,1
3175,1
3177,1
3180,1
3181,1
3182,2
3186,1
3187,1
3189,1
3190,1
3196,2
3198,2
3200,1
3201,1
3203,1
3204,1
3205,2
3206,1
3209,1
3210,3
3213,1
3214,1
3216,2
3218,1
3220,1
3222,1
3226,1
3228,1
3232,1
3238,1
3239,1
3244,2
3245,1
3247,1
3248,1
3251,1
3256,3
3263,1
3266,1
3272,1
3275,1
3284,2
3285,2
3291,2
3293,1
3297,2
3299,1
3300,1
3301,1
3305,1
3307,1
3312,1
3313,1
3314,1
3318,1
3320,1
3330,1
3340,1
3342,1
3350,1
3352,1
3356,1
3360,1
3361,2
3363,1
3365,1
3367,2
3369,1
3371,2
3372,1
3374,1
3381,1
3383,1
3385,1
3386,2
3388,1
3394,1
3402,1
3405,1
3406,2
3408,1
3410,1
3412,1
3413,2
3419,1
3421,1
3423,1
3428,4
3429,1
3430,1
3433,1
3437,1
3447,1
3449,1
3453,2
3454,2
3458,1
3465,5
3467,2
3468,1
3477,1
3479,1
3484,1
3488,2
3490,2
3495,1
3496,1
3497,1
3504,1
3505,2
3506,1
3513,2
3522,1
3523,1
3527,1
3530,1
3538,1
3542,1
3551,1
3553,1
3555,2
3559,1
3564,1
3567,1
3572,1
3573,1
3574,2
3575,1
3577,1
3578,1
3579,1
3580,2
3581,1
3582,2
3586,1
3589,1
3590,1
3591,1
3593,2
3594,1
3596,2
3601,1
3604,2
3605,1
3606,1
3607,1
3608,1
3609,1
3610,1
3615,1
3616,1
3626,1
3638,1
3641,1
3651,1
3653,1
3655,1
3658,2
3659,1
3660,1
3663,1
3668,1
3672,1
3674,1
3677,1
3680,1
3683,1
3684,1
3689,1
3698,1
3700,1
3701,2
3702,1
3703,1
3706,4
3707,1
3708,1
3709,2
3720,1
3724,1
3725,1
3726,1
3728,1
3729,1
3733,1
3739,1
3742,2
3744,1
3745,2
3750,1
3758,1
3766,1
3769,1
3774,1
3779,2
3781,1
3782,1
3787,1
3791,1
3800,1
3802,2
3808,1
3813,3
3814,1
3817,3
3819,2
3821,1
3826,1
3827,1
3828,1
3829,1
3831,1
3834,1
3837,1
3843,2
3846,1
3848,2
3850,1
3854,1
3856,2
3863,1
3868,1
3870,2
3871,1
3872,1
3876,1
3877,1
3883,3
3884,1
3885,2
3887,1
3889,1
3890,1
3891,1
3909,1
3915,1
3923,1
3929,2
3939,1
3943,1
3946,2
3949,1
3950,1
3951,1
3953,1
3957,1
3958,1
3959,2
3965,1
3966,1
3968,1
3971,1
3975,1
3976,2
3977,1
3979,1
3983,2
3984,1
3988,1
3996,1
3997,1
4008,1
4010,1
4011,1
4013,1
4015,1
4017,1
4022,1
4026,1
4033,2
4035,1
4037,1
4039,1
4045,1
4046,1
4047,2
4050,2
4051,1
4054,1
4057,1
4060,2
4064,1
4067,1
4068,1
4070,1
4072,1
4075,1
4082,1
4087,1
4089,1
4090,1
4093,1
4094,1
4095,1
4096,2
4100,1
4102,1
4117,2
4118,1
4119,1
4131,2
4133,1
4137,1
4145,1
4147,2
4148,1
4149,2
4151,2
4153,1
4154,1
4155,1
4156,1
4159,1
4160,3
4161,1
4163,1
4165,1
4166,1
4167,1
4174,1
4175,2
4176,1
4177,1
4180,1
4183,1
4185,2
4187,1
4188,1
4189,1
4190,1
4191,2
4192,1
4196,1
4197,3
4198,1
4200,1
4203,1
4208,1
4214,1
4216,1
4226,1
4231,1
4236,1
4243,1
4247,1
4252,1
4255,1
4257,2
4259,1
4260,1
4263,1
4267,1
4270,1
4272,1
4277,1
4278,1
4279,1
4280,1
4283,1
4285,1
4291,1
4299,1
4300,1
4302,1
4305,2
4309,1
4311,1
4312,1
4314,2
4316,1
4320,2
4321,1
4322,1
4325,1
4327,2
4328,1
4330,1
4332,1
4335,1
4337,1
4339,1
4343,1
4344,1
4345,1
4349,1
4355,1
4356,1
4358,1
4366,1
4367,1
4374,1
4375,1
4382,2
4383,1
4388,1
4389,1
4393,3
4404,2
4405,2
4406,1
4408,1
4412,2
4413,1
4417,1
4420,1
4422,1
4423,2
4424,1
4444,1
4445,1
4446,1
4447,1
4448,1
4450,1
4451,1
4453,1
4455,1
4456,1
4460,1
4461,1
4465,1
4466,1
4467,1
4470,2
4471,2
4473,1
4476,1
4479,1
4481,1
4483,2
4484,1
4485,1
4488,1
4489,1
4490,3
4497,1
4502,1
4504,1
4511,1
4515,1
4516,1
4517,1
4518,1
4519,1
4521,1
4528,1
4529,1
4534,1
4535,1
4536,1
4539,2
4543,3
4544,2
4548,1
4561,1
4562,1
4563,1
4564,2
4565,1
4567,2
4568,1
4569,1
4572,1
4579,1
4581,1
4585,1
4588,1
4589,2
4592,1
4593,2
4604,1
4605,1
4606,2
4607,1
4612,1
4613,2
4616,1
4619,1
4621,1
4625,1
4627,2
4631,1
4636,2
4639,2
4640,1
4641,1
4642,1
4645,1
4647,2
4650,1
4656,2
4657,1
4658,2
4659,2
4661,1
4662,1
4666,1
4669,2
4674,1
4675,1
4677,1
4678,1
4683,2
4686,1
4688,1
4689,1
4692,1
4693,2
4694,2
4695,1
4696,1
4706,1
4707,2
4710,1
4715,1
4716,1
4717,1
4723,1
4724,3
4727,2
4728,1
4729,1
4730,1
4731,2
4734,1
4736,2
4737,1
4738,1
4739,1
4740,1
4743,2
4747,5
4752,2
4761,1
4767,1
4768,1
4770,1
4773,2
4781,1
4783,1
4794,1
4795,1
4796,1
4798,1
4800,1
4801,2
4802,1
4803,2
4806,1
4809,1
4814,1
4817,1
4820,1
4821,1
4822,1
4827,2
4833,1
4834,1
4842,1
4844,2
4846,2
4852,1
4853,2
4856,1
4858,1
4870,2
4871,1
4874,1
4875,1
4876,1
4878,1
4879,2
4880,1
4883,1
4888,1
4890,1
4891,1
4898,3
4900,1
4902,1
4903,1
4906,4
4912,1
4919,1
4920,1
4921,2
4924,2
4925,1
4926,1
4927,1
4929,2
4932,1
4934,1
4938,1
4939,1
4944,2
4949,1
4950,1
4954,1
4958,2
4960,2
4963,1
4965,1
4967,1
4968,1
4969,2
4978,2
4979,1
4983,1
4984,2
4985,1
4994,1
4995,1
4996,1
4998,1
5004,1
5011,1
5021,1
5022,1
5025,1
5033,1
5037,1
5038,1
5039,2
5045,1
5046,2
5047,1
5048,1
5049,2
5050,2
5052,2
5057,1
5062,1
5065,1
5069,1
5072,1
5073,1
5077,1
5078,1
5080,3
5083,1
5087,1
5088,1
5089,1
5090,2
5091,1
5107,1
5108,1
5109,1
5111,1
5112,1
5114,1
5118,1
5120,1
5121,1
5128,1
5129,2
5132,1
5133,1
5136,2
5140,1
5142,1
5146,1
5156,1
5157,1
5160,2
5161,1
5166,1
5172,1
5173,2
5178,1
5179,1
5183,1
5184,1
5189,1
5193,1
5199,1
5205,1
5210,1
5214,1
5215,1
5216,1
5219,1
5221,1
5224,1
5225,1
5228,1
5229,1
5233,2
5234,2
5235,1
5236,1
5239,1
5243,1
5244,2
5246,1
5251,1
5253,2
5258,2
5262,1
5263,1
5265,1
5267,2
5272,1
5276,1
5282,1
5284,1
5290,1
5294,1
5295,1
5299,1
5309,2
5310,1
5312,1
5313,1
5315,1
5323,1
5327,1
5328,1
5332,1
5338,1
5339,1
5341,1
5349,1
5350,1
5351,1
5352,1
5354,1
5356,1
5360,2
5362,1
5363,1
5371,1
5373,1
5380,1
5387,1
5389,1
5390,1
5392,3
5394,1
5395,1
5406,1
5412,1
5415,1
5416,1
5419,1
5422,2
5424,1
5425,2
5428,1
5441,1
5446,2
5448,1
5449,1
5450,1
5452,1
5456,1
5457,1
5461,1
5465,1
5469,1
5476,1
5480,1
5487,1
5488,1
5492,1
5496,2
5500,1
5504,2
5505,1
5507,1
5509,2
5512,1
5528,2
5529,2
5531,2
5535,2
5536,1
5537,1
5546,1
5548,1
5551,1
5552,1
5558,1
5560,1
5565,1
5566,1
