bucket index,bucket size
4,1
6,3
9,1
14,1
18,1
27,1
31,2
32,1
37,1
38,1
48,1
51,1
55,1
57,1
60,1
67,1
70,1
73,1
82,1
83,1
84,2
86,1
87,1
90,1
91,2
92,2
93,1
95,3
98,1
100,1
106,1
107,1
108,1
114,2
115,2
119,1
121,1
123,1
124,1
125,1
131,1
133,1
135,1
140,1
147,1
152,1
157,1
161,1
162,1
167,1
169,1
173,1
174,1
183,1
186,1
187,1
190,1
192,1
198,2
199,1
202,3
204,1
205,1
212,1
213,1
222,1
224,1
231,1
234,1
235,1
236,2
242,1
244,1
250,1
253,1
254,1
255,1
256,1
259,1
263,1
268,1
275,1
277,1
279,3
282,1
286,1
293,1
296,1
311,1
313,3
316,2
317,1
320,1
323,1
330,1
332,1
339,2
340,2
341,2
343,1
345,4
346,1
347,1
350,1
357,1
361,1
364,1
365,1
374,1
376,2
379,2
383,1
385,1
388,1
389,1
396,1
400,1
410,1
412,1
413,1
415,1
418,1
419,1
421,1
428,2
430,1
431,1
435,1
439,1
445,1
446,1
448,1
450,1
451,1
453,2
455,1
458,1
459,1
463,2
465,1
466,1
467,1
476,1
484,1
485,1
490,1
493,1
494,1
502,1
503,1
504,1
506,2
518,1
520,1
524,1
525,1
528,2
529,1
533,2
538,1
539,1
542,2
547,1
548,1
551,1
555,2
566,2
568,1
569,1
570,1
585,1
591,1
595,1
600,1
601,1
604,1
605,1
608,1
609,2
613,1
620,1
624,1
640,1
641,1
643,1
646,1
647,2
669,2
674,1
675,1
677,1
681,2
688,1
695,2
702,1
703,1
705,1
709,1
711,3
712,1
721,1
722,1
727,2
730,1
733,5
736,1
738,1
741,1
742,1
743,1
744,1
745,1
746,1
747,2
748,2
749,1
750,1
752,1
755,1
759,2
763,1
765,1
768,1
769,1
770,1
773,2
785,1
795,1
809,1
813,1
818,1
826,1
827,1
829,1
834,1
835,3
840,2
841,1
844,1
847,1
851,1
854,2
856,1
859,1
863,2
869,1
873,1
875,1
877,1
882,1
886,1
890,1
892,1
896,7
898,1
900,4
905,1
906,3
909,1
910,1
911,1
912,2
918,1
922,1
927,1
931,1
938,1
945,1
946,2
950,1
952,2
954,1
955,1
956,1
958,1
961,3
963,1
964,2
967,2
968,1
972,1
976,1
978,4
979,1
983,1
984,3
985,1
991,1
992,1
995,1
996,1
998,2
1002,1
1003,1
1009,1
1011,1
1013,1
1014,1
1017,1
1018,1
1021,1
1022,1
1023,3
1025,1
1033,2
1038,1
1040,1
1041,1
1043,1
1046,1
1049,1
1050,1
1052,1
1054,1
1055,1
1059,2
1060,1
1062,1
1065,1
1066,1
1077,1
1081,2
1083,4
1087,1
1097,1
1098,2
1112,1
1123,1
1128,1
1129,3
1145,1
1146,1
1149,1
1157,1
1161,1
1163,1
1166,1
1174,1
1176,1
1178,1
1179,1
1185,1
1186,1
1190,1
1201,1
1204,2
1208,1
1210,1
1213,1
1216,1
1219,1
1220,1
1222,1
1225,1
1229,3
1230,1
1232,2
1233,3
1236,1
1240,1
1242,1
1245,3
1246,1
1247,1
1248,2
1249,2
1250,1
1251,2
1254,1
1255,1
1260,1
1261,1
1263,1
1266,1
1271,1
1274,1
1275,3
1289,1
1290,2
1292,1
1296,1
1302,1
1307,1
1316,1
1324,1
1329,1
1330,2
1336,4
1338,1
1339,1
1340,2
1343,2
1345,2
1346,3
1348,1
1350,1
1351,1
1354,1
1355,1
1356,1
1364,1
1365,1
1369,1
1372,1
1374,1
1380,1
1381,1
1382,1
1383,1
1388,2
1392,2
1397,2
1399,1
1400,2
1401,3
1404,1
1405,2
1407,1
1417,1
1420,1
1425,1
1432,1
1437,1
1456,3
1457,1
1458,1
1459,2
1469,1
1470,1
1474,1
1475,2
1477,2
1480,1
1481,2
1483,1
1486,1
1488,1
1489,3
1490,1
1493,1
1501,1
1502,1
1503,1
1509,1
1515,1
1516,1
1517,2
1519,1
1522,1
1531,1
1540,1
1544,1
1547,2
1548,2
1549,2
1553,1
1556,1
1557,1
1560,1
1565,3
1566,1
1567,1
1569,1
1571,2
1582,2
1583,2
1584,2
1588,1
1592,2
1594,2
1596,1
1598,1
1600,3
1602,2
1610,2
1612,2
1620,1
1624,1
1627,1
1628,3
1629,1
1632,1
1634,1
1635,3
1638,1
1642,1
1647,2
1652,1
1654,1
1665,1
1668,1
1669,2
1671,1
1672,2
1673,1
1676,2
1683,1
1689,1
1694,1
1697,1
1700,1
1701,1
1702,1
1704,1
1705,1
1708,1
1710,2
1712,1
1713,1
1717,1
1718,1
1719,1
1721,4
1722,1
1728,1
1734,2
1741,3
1755,1
1759,1
1763,1
1766,1
1768,1
1775,1
1785,1
1787,1
1791,1
1795,1
1799,1
1810,1
1812,1
1815,1
1817,1
1819,1
1822,1
1823,1
1826,1
1831,1
1832,2
1833,1
1837,1
1850,1
1852,1
1857,1
1859,1
1866,1
1873,1
1874,1
1877,1
1881,1
1883,1
1890,1
1894,1
1895,3
1896,1
1899,1
1902,1
1908,1
1913,1
1917,1
1920,1
1921,1
1924,1
1925,1
1928,1
1929,1
1931,1
1935,1
1936,1
1938,1
1945,1
1950,2
1965,1
1967,2
1971,1
1975,1
1976,1
1985,1
1987,1
1990,1
1991,2
1996,1
1998,1
2001,1
2003,1
2004,1
2005,1
2006,1
2007,1
2008,1
2017,2
2028,1
2034,1
2035,1
2039,1
2040,1
2041,1
2044,1
2046,1
2047,1
2049,1
2053,1
2054,1
2055,1
2059,1
2065,1
2069,1
2071,3
2078,1
2086,1
2089,1
2092,2
2099,1
2104,1
2110,1
2113,1
2115,1
2120,1
2124,1
2132,1
2133,1
2146,1
2151,1
2152,1
2156,1
2161,1
2166,1
2170,1
2177,1
2181,1
2186,1
2191,2
2194,1
2200,1
2207,1
2213,2
2215,1
2219,1
2222,1
2225,1
2227,1
2235,1
2236,1
2237,1
2239,1
2241,1
2249,1
2251,1
2252,3
2262,1
2266,2
2269,1
2272,1
2273,1
2282,2
2288,1
2290,1
2292,1
2299,1
2309,1
2315,1
2317,1
2327,1
2333,1
2339,1
2341,1
2342,1
2343,1
2345,1
2347,1
2348,1
2352,1
2353,2
2354,2
2356,1
2358,1
2362,1
2363,1
2367,1
2369,1
2370,1
2371,1
2375,1
2376,1
2377,1
2379,1
2383,1
2384,1
2391,1
2392,1
2398,1
2401,1
2402,1
2403,1
2404,2
2407,1
2408,1
2413,1
2415,1
2416,1
2420,1
2421,1
2422,1
2425,1
2426,1
2428,1
2429,2
2431,1
2432,1
2435,1
2436,1
2437,2
2438,1
2440,3
2444,1
2446,1
2448,2
2457,1
2469,2
2474,1
2475,1
2476,1
2482,2
2485,1
2487,1
2488,1
2490,1
2492,1
2496,1
2499,1
2500,1
2502,1
2504,1
2511,1
2522,3
2525,1
2526,1
2542,1
2546,2
2550,5
2551,1
2552,1
2553,1
2554,2
2555,1
2558,1
2559,1
2561,1
2564,1
2565,1
2571,1
2573,1
2575,3
2580,1
2581,1
2585,4
2590,2
2594,1
2595,1
2597,1
2600,2
2608,1
2609,1
2611,2
2613,2
2615,1
2616,1
2617,1
2620,1
2626,1
2629,1
2632,1
2639,1
2641,1
2647,1
2652,1
2653,1
2656,1
2659,1
2661,1
2663,1
2672,1
2674,1
2682,1
2687,2
2692,1
2700,1
2702,1
2703,2
2705,1
2706,2
2707,1
2711,1
2717,1
2719,2
2725,1
2726,2
2728,2
2729,2
2732,1
2734,1
2748,1
2752,1
2760,1
2762,3
2764,1
2765,1
2766,1
2771,1
2776,2
2778,1
2779,1
2786,1
2793,1
2794,1
2797,1
2799,1
2802,1
2808,2
2809,1
2813,1
2817,1
2825,2
2828,2
2829,1
2830,1
2832,1
2835,1
2838,1
2845,1
2848,1
2853,1
2857,1
2861,1
2866,1
2869,1
2870,1
2871,1
2872,1
2878,1
2883,1
2891,1
2897,2
2899,1
2905,1
2906,1
2908,1
2909,1
2913,2
2923,1
2931,2
2934,1
2935,1
2942,1
2944,2
2946,2
2949,1
2950,2
2951,1
2953,1
2962,1
2968,2
2973,1
2976,1
2984,1
2992,1
2998,1
3000,1
3003,1
3005,1
3011,2
3012,2
3013,1
3020,1
3021,1
3023,2
3025,1
3027,1
3029,2
3033,1
3037,1
3045,1
3046,3
3048,1
3050,1
3053,2
3057,1
3058,1
3059,2
3060,1
3069,1
3070,1
3072,1
3075,1
3079,1
3086,1
3088,2
3096,1
3107,2
3108,2
3115,2
3119,1
3120,1
3122,2
3123,1
3125,1
3127,2
3130,1
3133,1
3135,2
3138,1
3139,1
3142,1
3143,2
3151,1
3153,2
3155,1
3167,1
3169,1
3170,1
3176,1
3181,1
3186,1
3187,1
3189,1
3196,1
3198,1
3202,1
3209,1
3211,1
3215,2
3218,1
3226,1
3228,1
3231,1
3232,1
3233,1
3236,1
3240,1
3242,1
3244,1
3245,2
3247,1
3249,1
3251,2
3254,1
3256,1
3261,1
3262,1
3264,2
3265,1
3267,2
3272,2
3276,2
3277,1
3280,1
3282,2
3284,1
3288,1
3296,1
3299,1
3302,2
3306,1
3310,1
3323,1
3324,1
3326,1
3331,2
3332,1
3335,2
3337,1
3345,1
3348,3
3353,1
3356,3
3358,1
3361,2
3364,1
3366,2
3367,1
3370,2
3378,1
3380,1
3381,2
3385,1
3387,2
3389,1
3391,1
3392,1
3397,1
3405,1
3406,2
3408,1
3410,1
3415,2
3416,1
3419,2
3425,2
3431,1
3439,1
3441,1
3443,1
3444,1
3445,2
3448,1
3451,1
3452,1
3454,1
3455,1
3462,1
3464,1
3474,1
3475,1
3476,1
3477,1
3478,2
3480,1
3485,2
3486,1
3487,2
3489,1
3495,1
3496,1
3503,1
3507,1
3515,2
3519,2
3521,1
3523,1
3524,1
3526,1
3528,1
3529,1
3534,1
3535,2
3542,1
3543,1
3552,1
3559,1
3568,2
3569,1
3570,1
3571,1
3572,1
3574,2
3576,3
3578,3
3581,1
3586,1
3587,2
3588,1
3590,1
3591,1
3594,1
3596,1
3597,1
3599,1
3600,1
3601,1
3602,2
3604,1
3608,1
3612,1
