bucket index,bucket size
16,2
32,1
46,1
52,1
62,1
90,1
92,1
104,1
114,1
126,1
134,1
142,1
154,1
168,1
174,1
178,1
194,1
200,3
210,1
214,1
216,1
220,1
222,1
230,1
234,1
252,1
256,1
258,4
260,1
262,1
268,2
270,1
272,1
274,2
278,1
282,2
292,1
294,1
296,1
300,1
302,1
306,1
308,1
316,1
318,1
320,1
322,6
324,2
326,2
328,1
330,1
332,4
334,4
336,1
338,2
340,2
342,1
344,1
346,4
348,1
352,1
354,2
356,2
358,1
360,2
362,1
364,3
366,1
368,2
370,2
372,1
374,1
376,1
378,6
380,1
382,2
398,1
406,1
418,1
424,2
434,1
450,1
456,1
458,1
482,1
488,2
490,1
498,1
512,4
514,9
516,11
518,5
520,7
522,9
524,8
526,9
528,7
530,5
532,6
534,6
536,3
538,6
540,7
542,8
544,10
546,11
548,7
550,5
552,8
554,9
556,12
558,7
560,10
562,3
564,5
566,9
568,4
570,11
572,9
574,12
576,4
578,5
580,7
582,6
584,11
586,11
588,6
590,11
592,5
594,3
596,4
598,4
600,8
602,9
604,7
606,5
608,5
610,6
612,8
614,5
616,8
618,9
620,10
622,5
624,6
626,9
628,7
630,5
632,13
634,7
636,9
638,7
640,2
642,1
644,1
646,1
648,3
650,3
652,1
654,4
656,2
658,1
660,3
662,5
664,3
666,5
668,2
670,4
674,3
676,2
678,1
680,1
682,3
684,5
686,1
688,2
690,2
692,4
694,1
698,5
700,3
702,4
704,4
706,5
708,9
710,6
712,3
714,8
716,8
718,10
720,1
722,4
724,8
726,5
728,5
730,7
732,5
734,3
736,6
738,5
740,7
742,5
744,4
746,8
748,8
750,9
752,2
754,8
756,8
758,3
760,4
762,6
764,8
766,4
780,1
790,1
794,1
796,1
826,1
834,1
872,1
876,1
880,1
884,1
888,1
918,1
946,1
948,1
950,1
958,1
986,1
988,1
990,1
998,1
1024,13
1026,10
1028,5
1030,5
1032,13
1034,15
1036,4
1038,8
1040,8
1042,16
1044,14
1046,2
1048,8
1050,9
1052,13
1054,9
1056,6
1058,9
1060,9
1062,6
1064,16
1066,9
1068,13
1070,13
1072,8
1074,15
1076,16
1078,7
1080,17
1082,12
1084,13
1086,10
1088,11
1090,13
1092,8
1094,7
1096,9
1098,13
1100,9
1102,7
1104,8
1106,18
1108,7
1110,10
1112,11
1114,12
1116,11
1118,9
1120,10
1122,12
1124,10
1126,4
1128,8
1130,9
1132,10
1134,5
1136,6
1138,15
1140,10
1142,8
1144,7
1146,14
1148,10
1150,10
1152,7
1154,16
1156,8
1158,8
1160,13
1162,5
1164,13
1166,9
1168,6
1170,19
1172,14
1174,11
1176,8
1178,10
1180,5
1182,6
1184,12
1186,8
1188,14
1190,8
1192,10
1194,14
1196,9
1198,6
1200,7
1202,13
1204,6
1206,8
1208,8
1210,10
1212,8
1214,6
1216,11
1218,12
1220,7
1222,7
1224,13
1226,10
1228,8
1230,6
1232,12
1234,18
1236,12
1238,6
1240,8
1242,11
1244,11
1246,9
1248,6
1250,15
1252,7
1254,12
1256,10
1258,11
1260,10
1262,9
1264,7
1266,21
1268,6
1270,6
1272,10
1274,13
1276,12
1278,7
1280,8
1282,11
1284,14
1286,5
1288,13
1290,12
1292,7
1294,9
1296,7
1298,16
1300,11
1302,10
1304,9
1306,13
1308,8
1310,7
1312,8
1314,14
1316,8
1318,16
1320,10
1322,7
1324,10
1326,11
1328,6
1330,15
1332,13
1334,11
1336,15
1338,16
1340,11
1342,8
1344,4
1346,12
1348,14
1350,9
1352,12
1354,13
1356,5
1358,9
1360,8
1362,14
1364,8
1366,10
1368,13
1370,9
1372,7
1374,10
1376,10
1378,9
1380,8
1382,7
1384,7
1386,11
1388,12
1390,11
1392,7
1394,12
1396,9
1398,4
1400,12
1402,18
1404,9
1406,4
1408,4
1410,2
1412,3
1414,2
1416,4
1418,3
1420,3
1422,5
1424,2
1426,4
1428,3
1430,4
1432,5
1434,4
1436,2
1438,6
1442,3
1444,3
1446,2
1448,1
1450,5
1452,5
1454,1
1456,1
1458,4
1460,4
1462,2
1464,5
1466,4
1468,2
1470,3
1472,2
1474,5
1476,3
1478,3
1480,3
1482,5
1484,5
1486,5
1488,5
1490,6
1492,4
1494,1
1496,3
1498,1
1500,4
1502,5
1504,2
1506,5
1508,6
1510,2
1512,6
1514,3
1516,6
1518,6
1520,4
1522,4
1524,2
1526,7
1528,4
1530,2
1532,6
1534,3
1546,1
1562,1
1566,1
1578,1
1580,1
1590,1
1594,1
1598,1
1600,1
1608,2
1614,2
1630,1
1634,1
1640,1
1650,1
1658,2
1672,1
1682,1
1690,1
1696,1
1704,1
1734,1
1736,1
1744,1
1786,1
1788,1
1790,1
1794,1
1810,1
1832,2
1842,1
1848,1
1864,2
1866,1
1878,1
1886,1
1896,2
1910,1
1918,1
1926,1
1948,1
1962,1
1976,1
1978,2
1992,1
1994,1
1998,1
2018,1
2024,1
2038,1
2048,3
2050,11
2052,4
2054,6
2056,4
2058,11
2060,8
2062,6
2064,4
2066,9
2068,6
2070,5
2072,11
2074,6
2076,6
2078,7
2080,9
2082,9
2084,3
2086,8
2088,7
2090,3
2092,10
2094,10
2096,7
2098,17
2100,5
2102,1
2104,4
2106,9
2108,12
2110,10
2112,6
2114,9
2116,6
2118,4
2120,2
2122,8
2124,8
2126,4
2128,7
2130,18
2132,9
2134,9
2136,7
2138,4
2140,8
2142,6
2144,9
2146,11
2148,4
2150,5
2152,5
2154,3
2156,8
2158,4
2160,3
2162,15
2164,6
2166,6
2168,4
2170,5
2172,9
2174,2
2176,6
2178,10
2180,7
2182,5
2184,9
2186,10
2188,6
2190,7
2192,14
2194,13
2196,8
2198,8
2200,4
2202,12
2204,5
2206,7
2208,8
2210,10
2212,3
2214,6
2216,5
2218,6
2220,9
2222,8
2224,4
2226,10
2228,7
2230,4
2232,12
2234,11
2236,15
2238,8
2240,6
2242,10
2244,5
2246,5
2248,7
2250,4
2252,4
2254,5
2256,4
2258,12
2260,5
2262,8
2264,9
2266,11
2268,4
2270,9
2272,3
2274,10
2276,5
2278,9
2280,11
2282,6
2284,8
2286,6
2288,2
2290,15
2292,3
2294,8
2296,6
2298,9
2300,7
2302,8
2304,5
2306,8
2308,3
2310,4
2312,7
2314,4
2316,6
2318,7
2320,4
2322,6
2324,7
2326,3
2328,7
2330,7
2332,5
2334,2
2336,7
2338,3
2340,4
2342,7
2344,6
2346,12
2348,11
2350,11
2352,5
2354,8
2356,6
2358,5
2360,6
2362,11
2364,11
2366,8
2368,4
2370,10
2372,3
2374,8
2376,8
2378,9
2380,8
2382,4
2384,3
2386,13
2388,7
2390,4
2392,9
2394,12
2396,7
2398,8
2400,2
2402,11
2404,3
2406,5
2408,8
2410,13
2412,13
2414,4
2416,8
2418,10
2420,6
2422,2
2424,9
2426,2
2428,3
2430,5
2432,8
2434,5
2436,6
2438,5
2440,5
2442,11
2444,8
2446,7
2448,3
2450,12
2452,5
2454,8
2456,13
2458,11
2460,5
2462,4
2464,11
2466,11
2468,7
2470,9
2472,6
2474,8
2476,4
2478,6
2480,5
2482,10
2484,6
2486,5
2488,7
2490,4
2492,11
2494,5
2496,9
2498,14
2500,4
2502,2
2504,4
2506,6
2508,11
2510,8
2512,7
2514,12
2516,6
2518,6
2520,9
2522,12
2524,3
2526,9
2528,4
2530,11
2532,9
2534,7
2536,8
2538,6
2540,8
2542,4
2544,4
2546,7
2548,4
2550,3
2552,7
2554,7
2556,6
2558,9
2560,3
2562,7
2564,7
2566,11
2568,10
2570,10
2572,7
2574,4
2576,11
2578,17
2580,6
2582,8
2584,10
2586,8
2588,4
2590,8
2592,8
2594,10
2596,6
2598,3
2600,6
2602,8
2604,8
2606,6
2608,7
2610,10
2612,3
2614,5
2616,8
2618,9
2620,11
2622,5
2626,7
2628,6
2630,6
2632,7
2634,5
2636,3
2638,3
2640,8
2642,8
2644,4
2646,8
2648,6
2650,7
2652,8
2654,6
2656,8
2658,18
2660,3
2662,8
2664,8
2666,13
2668,8
2670,2
2672,10
2674,11
2676,10
2678,4
2680,4
2682,8
2684,10
2686,8
2688,15
2690,10
2692,13
2694,12
2696,5
2698,8
2700,10
2702,12
2704,7
2706,10
2708,4
2710,8
2712,6
2714,6
2716,10
2718,11
2720,8
2722,10
2724,14
2726,9
2728,6
2730,13
2732,10
2734,9
2736,6
2738,15
2740,9
2742,10
2744,11
2746,12
2748,11
2750,11
2752,5
2754,12
2756,8
2758,10
2760,5
2762,11
2764,8
2766,5
2768,6
2770,17
2772,4
2774,9
2776,12
2778,9
2780,10
2782,7
2784,5
2786,15
2788,3
2790,5
2792,8
2794,8
2796,6
2798,3
2800,9
2802,9
2804,11
2806,7
2808,12
2810,12
2812,4
2814,8
2816,4
2818,4
2820,5
2822,7
2824,5
2826,8
2828,2
2830,5
2832,6
2834,9
2836,1
2838,2
2840,4
2842,12
2844,3
2846,7
2848,2
2850,7
2852,1
2854,4
2856,7
2858,9
2860,4
2862,7
2864,6
2866,10
2868,3
2870,2
2872,7
2874,5
2876,3
2878,3
2880,6
2882,3
2884,9
2886,9
2888,5
2890,7
2892,4
2894,6
2896,5
2898,9
2900,5
2902,5
2904,3
2906,7
2908,4
2910,1
2912,3
2914,8
2916,5
2918,6
2920,9
2922,2
2924,2
2926,3
2928,3
2930,6
2932,2
2934,5
2936,3
2938,1
2940,9
2942,5
2944,3
2946,1
2948,2
2950,2
2952,1
2954,2
2956,3
2958,3
2960,1
2962,3
2964,1
2966,2
2968,1
2970,5
2972,6
2974,2
2976,1
2978,2
2980,3
2982,1
2984,1
2986,3
2988,4
2990,2
2992,2
2994,4
2996,5
2998,1
3000,1
3002,6
3004,1
3006,3
3008,3
3010,1
3012,2
3014,2
3016,4
3018,5
3020,3
3022,5
3024,4
3026,5
3028,6
3030,1
3032,3
3034,4
3036,4
3038,1
3040,3
3042,6
3044,3
3046,3
3048,1
3050,3
3052,2
3054,2
3056,2
3058,5
3060,4
3062,2
3064,2
3066,2
3068,2
3070,5
3074,1
3080,3
3086,1
3120,1
3122,1
3126,1
3128,1
3140,1
3144,1
3160,1
3176,1
3178,1
3184,1
3186,1
3234,1
3236,1
3240,2
3246,2
3252,1
3264,2
3278,1
3292,1
3304,1
3306,1
3338,1
3358,2
3360,1
3362,1
3370,1
3378,2
3382,1
3386,1
3390,2
3402,3
3404,2
3418,1
3430,1
3432,2
3438,1
3458,1
3460,1
3462,1
3464,1
3482,1
3484,1
3492,1
3496,1
3512,1
3514,1
3518,1
3528,1
3530,1
3540,1
3542,1
3550,1
3554,1
3560,2
3622,1
3624,1
3642,1
3656,2
3666,1
3672,1
3688,1
3694,1
3714,1
3742,1
3758,1
3762,1
3766,1
3776,1
3784,1
3790,1
3808,1
3810,1
3816,1
3820,1
3826,1
3832,1
3848,2
3866,1
3880,1
3896,1
3904,1
3910,1
3912,1
3926,1
3930,2
3932,1
3944,1
3954,1
3970,1
3990,1
4010,1
4012,1
4024,3
4040,1
4058,1
4070,1
4072,2
4086,1
4092,2
4096,5
4098,9
4100,4
4102,3
4104,7
4106,6
4108,8
4110,2
4112,7
4114,9
4116,5
4118,5
4120,7
4122,6
4124,3
4126,5
4128,6
4130,6
4132,3
4134,4
4136,7
4138,7
4140,10
4142,5
4144,3
4146,7
4148,5
4150,4
4152,4
4154,9
4156,3
4158,5
4160,10
4162,8
4164,2
4166,1
4168,4
4170,5
4172,5
4174,3
4176,2
4178,8
4180,4
4182,3
4184,2
4186,5
4188,6
4190,7
4192,4
4194,4
4198,1
4200,8
4202,5
4204,5
4206,4
4208,6
4210,8
4212,4
4214,3
4216,6
4218,4
4220,7
4222,3
4224,4
4226,6
4228,3
4230,4
4232,6
4234,3
4236,7
4238,4
4240,9
4242,7
4244,5
4246,3
4248,14
4250,7
4252,5
4254,6
4256,6
4258,10
4260,5
4262,2
4264,7
4266,4
4268,7
4270,3
4272,6
4274,14
4276,3
4280,5
4282,9
4284,1
4286,7
4288,7
4290,3
4292,4
4294,3
4296,6
4298,4
4300,4
4302,6
4304,11
4306,11
4308,7
4310,3
4312,2
4314,6
4316,4
4318,7
4320,4
4322,5
4324,4
4326,3
4328,7
4330,6
4332,9
4334,3
4336,5
4338,7
4340,6
4342,2
4344,6
4346,7
4348,6
4350,5
4352,11
4354,5
4356,7
4358,5
4360,6
4362,6
4364,5
4366,10
4368,6
4370,3
4372,7
4374,4
4376,4
4378,5
4380,3
4382,4
4384,9
4386,6
4388,6
4390,6
4392,5
4394,6
4396,3
4398,2
4400,2
4402,4
4404,4
4406,4
4408,3
4410,10
4412,7
4414,4
4416,3
4418,7
4420,8
4422,3
4424,6
4426,5
4428,4
4430,3
4432,7
4434,10
4436,5
4438,2
4440,6
4442,10
4444,3
4446,9
4448,3
4450,6
4452,1
4454,1
4456,9
4458,3
4460,3
4462,1
4464,3
4466,11
4468,7
4470,2
4472,3
4474,9
4476,4
4478,6
4480,7
4482,10
4484,7
4486,5
4488,7
4490,3
4492,5
4494,7
4496,5
4498,5
4500,7
4502,4
4504,7
4506,11
4508,1
4510,4
4512,7
4514,6
4516,3
4518,5
4520,11
4522,9
4524,4
4526,8
4528,9
4530,7
4532,6
4534,4
4536,8
4538,2
4540,11
4542,6
4544,3
4546,8
4548,5
4550,5
4552,9
4554,3
4556,8
4558,5
4560,8
4562,10
4564,7
4566,1
4568,6
4570,8
4572,6
4574,5
4576,6
4578,12
4580,1
4582,2
4584,5
4586,4
4588,1
4590,9
4592,1
4594,6
4596,4
4598,5
4600,2
4602,9
4604,7
4606,7
4608,6
4610,4
4612,2
4614,1
4616,8
4618,4
4620,4
4622,1
4624,4
4626,5
4628,7
4630,4
4632,5
4634,5
4636,11
4638,5
4640,6
4642,7
4644,2
4646,5
4648,1
4650,3
4652,10
4654,3
4656,4
4658,4
4660,1
4662,5
4664,8
4666,7
4668,3
4670,4
4672,8
4674,3
4678,1
4680,7
4682,4
4684,4
4686,1
4688,12
4690,6
4692,7
4694,2
4696,5
4698,8
4700,2
4702,4
4704,3
4706,7
4708,4
4710,2
4712,9
4714,5
4716,6
4718,2
4720,4
4722,9
4724,2
4726,4
4728,4
4730,10
4732,4
4734,4
4736,6
4738,7
4740,3
4742,2
4744,6
4746,6
4748,5
4750,2
4752,4
4754,5
4756,8
4760,8
4762,8
4764,2
4766,5
4768,6
4770,8
4772,1
4774,4
4776,7
4778,3
4780,2
4782,3
4784,5
4786,12
4788,6
4790,3
4792,5
4794,5
4796,14
4798,7
4800,2
4802,12
4804,2
4806,2
4808,5
4810,8
4812,5
4814,2
4816,4
4818,6
4820,3
4822,2
4824,4
4826,2
4828,7
4830,7
4832,6
4834,2
4836,2
4838,3
4840,8
4842,1
4844,8
4846,5
4848,3
4850,5
4852,5
4854,1
4856,2
4858,10
4860,6
4862,4
4864,2
4866,5
4868,4
4870,4
4872,7
4874,6
4876,7
4878,7
4880,4
4882,7
4884,7
4888,7
4890,7
4892,4
4894,4
4896,5
4898,5
4900,1
4902,3
4904,1
4906,9
4908,5
4910,10
4912,4
4914,5
4916,3
4918,4
4920,3
4922,5
4924,8
4926,4
4928,3
4930,6
4932,4
4934,2
4936,10
4938,1
4942,5
4944,5
4946,8
4948,1
4950,2
4952,4
4954,10
4956,5
4958,6
4960,6
4962,6
4964,3
4966,5
4968,5
4970,5
4972,7
4974,7
4976,5
4978,8
4980,6
4982,2
4984,6
4986,5
4988,6
4990,4
4992,8
4994,3
4996,5
4998,3
5000,9
5002,4
5004,6
5006,2
5008,1
5010,6
5012,1
5014,7
5016,5
5018,7
5020,5
5022,1
5024,3
5026,3
5028,4
5030,5
5032,4
5034,2
5036,6
5038,4
5040,6
5042,5
5044,3
5046,7
5048,7
5050,6
5052,10
5054,4
5056,5
5058,7
5060,2
5062,1
5064,7
5066,8
5068,7
5070,1
5072,4
5074,14
5076,6
5078,3
5080,5
5082,5
5084,5
5086,7
5088,5
5090,5
5092,1
5094,7
5096,2
5098,4
5100,5
5102,2
5104,7
5106,3
5108,5
5110,3
5112,5
5114,7
5116,6
5118,8
5120,11
5122,4
5124,1
5126,6
5128,8
5130,6
5132,4
5134,7
5136,9
5138,14
5140,10
5142,4
5144,4
5146,6
5148,8
5150,4
5152,3
5154,8
5156,2
5158,4
5160,7
5162,10
5164,7
5166,7
5168,5
5170,8
5172,5
5174,3
5176,4
5178,6
5180,13
5182,5
5184,3
5186,9
5188,6
5190,5
5192,6
5194,6
5196,7
5198,4
5200,8
5202,9
5204,2
5206,1
5208,6
5210,4
5212,2
5214,5
5216,11
5218,6
5220,1
5222,7
5224,5
5226,11
5228,2
5230,7
5232,5
5234,5
5236,3
5238,7
5240,3
5242,7
5244,9
5246,5
5248,5
5250,2
5252,3
5254,5
5256,8
5258,7
