bucket index,bucket size
0,1
2,1
4,2
6,1
8,1
9,2
10,2
11,2
13,1
15,1
32,30
33,38
34,31
35,25
36,32
37,22
38,39
39,37
40,32
41,34
42,18
43,27
44,22
45,13
46,20
47,22
65,1
68,2
73,1
76,1
96,1
97,1
104,2
105,1
111,1
128,6
129,2
130,3
132,3
134,2
135,1
136,3
138,2
140,3
141,2
143,3
163,2
164,1
174,1
192,1
193,3
194,1
196,1
198,2
199,1
200,1
202,1
204,1
224,6
225,9
226,2
227,3
228,3
229,2
230,2
231,3
232,3
233,5
234,1
235,1
236,2
237,2
238,1
239,1
256,1
257,1
260,4
264,1
265,3
267,3
268,1
269,1
289,1
290,1
291,1
292,1
296,1
297,3
301,1
303,1
322,1
327,1
328,1
353,3
355,2
356,3
358,1
359,2
361,1
362,1
365,1
366,1
387,1
393,1
396,1
417,1
422,1
425,1
448,1
452,1
455,1
480,2
481,3
482,4
484,2
486,1
487,1
488,3
489,1
490,2
493,2
513,2
515,1
517,1
521,1
525,1
545,1
550,1
551,1
552,1
553,1
576,5
577,3
578,7
579,3
580,4
582,1
584,2
585,4
586,1
587,2
589,2
608,1
612,1
645,1
649,1
651,1
654,1
675,1
676,1
680,1
681,1
684,1
704,1
705,2
712,3
713,1
716,1
717,1
718,1
736,2
737,1
743,1
745,1
746,1
747,1
769,2
772,1
776,1
777,1
779,1
780,1
781,1
783,2
800,1
804,1
805,1
808,1
809,3
811,1
813,1
841,1
843,1
845,1
865,1
868,1
869,1
871,1
875,1
876,1
878,1
899,2
905,2
928,3
929,8
930,2
931,1
932,1
933,3
934,2
935,6
937,1
938,1
940,1
941,4
943,4
961,1
993,1
995,1
1003,1
1024,1
1025,4
1026,4
1027,1
1028,6
1029,1
1030,2
1031,1
1032,2
1033,3
1034,1
1035,2
1037,1
1038,1
1039,2
1056,2
1058,1
1060,1
1063,1
1064,1
1065,2
1067,3
1071,1
1097,2
1101,1
1103,1
1120,1
1123,1
1152,1
1155,4
1157,2
1162,1
1163,1
1165,2
1167,2
1184,1
1191,1
1195,1
1198,1
1217,1
1219,1
1220,1
1224,1
1227,1
1228,1
1258,1
1260,1
1280,5
1281,8
1282,2
1283,3
1284,1
1285,5
1286,4
1287,2
1288,2
1289,2
1292,3
1293,4
1295,2
1315,1
1316,1
1320,1
1324,1
1325,2
1347,1
1348,1
1349,1
1353,1
1355,1
1359,1
1376,2
1377,2
1378,2
1379,3
1380,3
1381,1
1382,1
1383,2
1384,4
1386,1
1388,1
1390,1
1391,1
1408,2
1416,1
1441,1
1446,1
1448,1
1449,1
1451,1
1453,1
1472,1
1474,1
1481,1
1485,2
1507,1
1511,2
1512,1
1514,1
1536,2
1537,1
1540,3
1542,1
1545,1
1546,1
1569,1
1572,2
1573,1
1574,1
1576,2
1579,1
1580,2
1581,1
1582,1
1600,3
1604,1
1606,3
1607,1
1608,1
1611,2
1614,2
1615,3
1632,1
1636,2
1640,1
1665,1
1668,1
1670,2
1673,1
1679,1
1697,1
1700,1
1709,1
1728,7
1729,3
1730,1
1731,3
1732,6
1734,1
1735,5
1736,6
1737,3
1738,1
1740,2
1741,1
1743,2
1760,1
1764,1
1769,1
1772,1
1793,1
1796,1
1800,4
1801,1
1802,1
1824,12
1825,14
1826,7
1827,9
1828,10
1829,6
1830,4
1831,3
1832,7
1833,13
1834,2
1835,10
1836,3
1837,3
1838,2
1839,3
1856,2
1862,1
1864,2
1867,1
1869,1
1870,3
1890,1
1892,4
1897,2
1899,1
1901,1
1923,1
1926,1
1927,1
1928,1
1929,1
1952,2
1958,2
1962,1
1963,1
1967,1
1984,1
1985,2
1990,1
1992,1
1994,1
2027,1
2029,1
2048,1
2049,4
2050,1
2051,1
2052,1
2056,1
2057,2
2059,1
2063,1
2080,3
2081,3
2082,2
2083,1
2084,1
2085,1
2086,2
2087,4
2088,3
2089,2
2090,2
2091,1
2112,1
2114,1
2116,2
2117,1
2119,1
2121,1
2122,2
2124,1
2157,1
2176,9
2177,13
2178,7
2179,5
2180,6
2181,9
2182,2
2183,9
2184,3
2185,10
2186,6
2187,6
2188,1
2189,5
2190,11
2191,2
2212,2
2216,3
2219,1
2240,1
2241,1
2244,1
2246,1
2247,1
2248,2
2250,1
2281,1
2282,1
2304,2
2305,3
2307,3
2308,1
2309,1
2310,1
2311,3
2312,1
2314,1
2317,1
2337,1
2338,1
2339,1
2340,3
2341,1
2342,1
2347,1
2348,2
2351,1
2369,1
2371,1
2374,2
2376,2
2381,1
2382,1
2400,2
2402,1
2403,2
2404,1
2409,1
2410,1
2411,1
2440,1
2443,1
2446,1
2464,1
2465,1
2467,1
2469,1
2471,1
2472,1
2473,1
2475,1
2477,1
2500,1
2502,1
2505,1
2506,1
2528,13
2529,9
2530,4
2531,5
2532,3
2533,4
2534,3
2535,3
2536,4
2537,7
2538,5
2539,2
2540,3
2541,4
2542,4
2543,2
2560,1
2563,1
2567,1
2592,1
2593,1
2595,2
2599,1
2601,1
2624,3
2625,2
2626,1
2627,1
2629,1
2631,1
2632,1
2633,3
2634,2
2636,1
2637,2
2638,2
2639,2
2689,1
2694,1
2700,1
2703,2
2723,1
2728,1
2734,1
2752,1
2753,1
2756,1
2757,1
2760,2
2761,2
2762,1
2764,2
2767,2
2785,1
2787,1
2791,2
2792,1
2793,1
2817,1
2820,1
2821,1
2824,1
2826,1
2827,1
2830,1
2848,1
2850,1
2852,2
2853,1
2854,3
2855,1
2856,1
2857,4
2860,1
2861,1
2880,10
2881,15
2882,6
2883,9
2884,10
2885,5
2886,3
2887,13
2888,10
2889,7
2890,6
2891,2
2892,3
2893,10
2894,4
2895,8
2915,1
2916,2
2920,1
2921,1
2945,1
2947,1
2948,1
2954,1
2958,1
2976,2
2977,1
2979,1
2980,1
2982,1
2983,4
2985,2
2986,1
2987,1
2989,3
3012,1
3016,1
3019,1
3022,1
3044,2
3046,2
3048,2
3049,1
3054,1
3080,2
3084,1
3087,1
3104,1
3105,2
3106,1
3108,1
3112,1
3113,1
3117,2
3118,1
3136,1
3137,1
3140,3
3141,1
3142,1
3143,1
3145,3
3146,1
3148,2
3149,3
3151,1
3172,1
3183,1
3200,2
3201,4
3202,1
3204,1
3205,1
3207,1
3208,1
3211,1
3213,1
3235,1
3236,2
3239,1
3241,2
3267,2
3268,1
3273,1
3274,1
3277,1
3296,1
3297,1
3328,3
3329,1
3330,1
3332,2
3333,1
3334,1
3335,3
3336,1
3337,3
3339,1
3340,1
3341,3
3343,1
3360,2
3361,1
3364,1
3369,1
3400,1
