bucket index,bucket size
1,1
2,1
7,2
13,1
14,1
15,1
18,1
22,1
24,2
25,1
27,1
30,1
34,2
35,1
37,1
39,1
40,1
42,1
43,1
48,2
51,1
64,1
65,1
66,1
69,2
72,1
73,1
74,1
76,2
77,1
78,2
79,1
80,1
86,1
88,2
90,1
91,1
93,1
94,1
95,1
96,1
97,2
100,1
106,2
107,1
108,1
109,2
111,1
117,1
118,2
119,1
121,1
124,1
127,1
128,2
129,1
132,1
136,1
143,1
146,1
147,1
149,2
152,3
154,1
159,1
160,2
162,1
165,1
167,3
168,1
170,2
172,1
175,1
179,1
180,1
181,1
183,2
185,2
186,3
187,2
191,1
193,3
198,1
203,2
207,5
208,1
209,1
211,1
212,1
213,2
215,2
216,2
217,4
221,1
226,1
227,2
228,1
229,1
235,2
236,1
237,1
241,3
242,3
243,1
244,1
245,1
249,1
250,1
251,1
253,1
254,1
255,1
257,1
260,3
263,1
264,2
265,2
267,1
269,2
270,3
271,1
272,1
273,2
274,2
275,1
277,2
278,1
280,1
281,1
283,3
284,1
285,2
288,1
293,2
295,1
300,2
301,1
302,1
303,1
304,1
305,1
311,1
312,1
313,1
315,2
316,1
317,1
318,3
319,1
320,2
323,2
327,2
328,1
334,1
335,3
338,2
341,2
343,1
344,2
346,1
347,2
348,1
351,1
353,2
357,1
358,2
360,2
363,1
365,2
366,3
368,1
370,1
371,1
378,1
379,1
381,1
387,1
388,1
389,1
390,1
396,1
401,1
402,3
403,1
404,1
405,2
407,2
408,2
410,2
411,3
413,1
416,1
417,1
419,2
424,3
425,1
427,1
428,2
430,3
431,3
432,1
433,1
434,1
437,1
438,2
442,2
443,2
445,1
449,2
453,4
455,2
456,1
457,2
460,2
461,1
462,1
463,2
465,1
466,2
469,2
470,2
473,2
476,1
477,1
478,1
480,1
481,1
485,2
486,2
487,2
490,1
493,2
494,1
495,1
496,1
497,1
500,1
502,3
504,2
505,1
506,1
508,1
518,1
519,1
524,1
525,1
527,1
529,1
531,1
532,1
534,1
536,2
540,1
541,2
544,1
545,2
547,1
548,1
550,2
551,2
553,1
554,1
555,1
556,1
558,2
559,1
560,3
561,1
563,2
565,1
566,1
567,1
568,1
569,2
571,1
573,2
575,2
577,1
579,1
580,1
582,1
583,1
585,1
586,1
588,1
589,1
592,3
594,1
595,1
596,2
598,2
599,1
603,1
605,1
607,1
608,1
609,1
610,1
611,4
612,4
614,1
615,1
616,6
617,1
618,1
620,1
621,3
622,3
625,2
627,1
628,3
629,1
630,2
631,1
633,1
635,2
637,1
639,1
640,1
642,1
644,1
645,3
646,1
647,1
648,1
652,2
656,3
659,1
662,1
665,2
667,1
668,1
670,1
671,2
674,2
678,2
681,1
684,2
687,1
688,1
690,2
691,1
694,2
701,3
703,1
704,1
705,2
706,2
707,1
708,1
709,1
711,1
712,2
714,1
715,1
716,1
718,1
719,1
720,1
722,2
727,1
728,1
730,2
731,1
736,1
737,1
738,1
739,1
741,2
742,1
744,1
746,1
747,1
748,1
749,1
750,1
754,1
756,2
761,1
762,1
764,2
766,1
767,1
770,1
772,1
773,1
776,1
777,1
778,1
780,1
782,2
784,1
785,1
787,1
790,3
791,1
794,2
796,2
798,1
800,1
804,2
805,1
806,2
807,1
808,1
811,1
813,2
816,2
818,1
819,2
820,2
822,1
823,1
824,2
826,1
827,2
829,1
830,4
834,1
835,1
836,1
837,3
839,1
840,2
842,1
843,4
845,1
846,1
847,3
848,1
849,1
856,1
857,1
861,1
864,1
866,1
868,2
870,1
872,1
875,1
876,1
877,3
878,1
879,1
880,2
881,1
882,1
883,2
890,2
893,1
895,1
896,1
899,1
900,2
905,1
906,2
907,1
908,1
909,1
910,1
912,1
915,1
918,2
920,2
924,1
927,1
929,2
931,2
932,1
934,1
936,1
937,1
944,2
946,2
948,1
949,1
952,2
954,1
955,1
956,2
959,1
960,1
961,2
963,1
965,1
974,1
976,3
977,2
978,2
979,1
981,2
982,2
983,1
985,1
986,1
987,1
989,1
991,1
992,1
994,2
996,1
1000,2
1002,2
1003,1
1004,1
1005,1
1006,1
1007,1
1008,1
1009,1
1010,1
1011,1
1012,1
1013,2
1015,1
1016,1
1017,1
1018,1
1019,1
1022,2
1023,1
1024,1
1026,1
1028,1
1031,2
1032,2
1036,1
1039,1
1040,1
1041,2
1043,2
1044,1
1048,3
1049,1
1050,2
1051,1
1052,2
1053,1
1054,1
1055,1
1058,1
1059,1
1060,3
1061,1
1064,1
1065,1
1066,1
1069,1
1070,1
1071,1
1072,2
1075,2
1076,3
1078,1
1079,1
1080,1
1081,1
1082,7
1084,1
1085,1
1086,1
1087,3
1088,1
1089,4
1092,2
1093,3
1096,1
1099,4
1101,1
1103,1
1104,1
1105,3
1107,1
1108,1
1109,2
1111,2
1112,1
1113,2
1115,1
1116,2
