bucket index,bucket size
2,1
20,1
22,2
23,1
29,1
32,1
34,1
36,1
37,1
38,2
44,1
45,1
48,1
50,2
53,2
57,1
60,1
61,3
67,1
71,1
73,1
75,1
81,1
87,1
89,1
101,1
106,1
112,1
114,2
115,2
117,1
122,1
124,1
128,2
134,1
135,1
142,1
153,1
154,1
155,2
156,1
157,1
160,1
161,1
162,1
175,1
178,1
180,2
181,2
183,1
187,1
189,1
198,1
202,1
206,1
207,2
208,1
211,1
217,1
218,1
219,1
221,1
223,1
224,1
226,1
227,1
229,2
234,1
241,1
242,1
245,1
262,1
270,1
272,1
274,2
276,1
285,1
287,1
288,1
289,2
290,1
293,1
294,2
296,1
299,3
300,1
306,1
308,1
309,2
310,1
313,2
314,1
318,1
323,1
345,1
352,1
353,1
362,1
366,1
372,1
376,1
381,1
382,1
383,1
384,1
386,1
391,1
392,1
395,1
400,1
401,2
404,1
405,1
407,1
409,1
415,1
416,2
432,1
435,1
438,1
439,1
445,1
447,1
449,1
451,1
452,1
456,1
464,1
467,1
469,1
473,2
474,1
480,1
482,1
486,1
490,1
491,1
492,1
495,2
496,1
497,1
500,2
501,1
503,1
504,2
515,1
519,1
524,1
527,1
529,1
534,1
538,1
539,1
544,1
548,1
552,1
558,1
559,1
562,1
563,1
564,1
566,1
567,1
575,1
578,1
580,2
581,1
583,1
588,1
590,1
591,1
592,2
594,2
598,1
604,1
606,1
611,2
613,1
617,1
620,1
634,2
636,1
637,1
639,1
642,1
650,1
656,1
659,1
660,1
661,1
666,1
669,1
672,1
673,1
674,1
675,1
677,2
679,1
680,1
684,1
686,1
687,1
695,1
696,1
703,1
704,1
710,1
711,1
717,2
719,2
723,1
726,2
728,1
729,1
736,1
738,1
739,1
741,1
747,2
757,1
760,1
772,1
790,1
791,1
792,1
793,1
795,3
797,1
802,1
810,1
815,1
818,1
820,1
829,2
831,1
835,1
839,1
842,1
853,1
855,1
856,1
859,2
861,1
867,1
872,1
874,2
876,1
878,1
880,1
882,2
886,3
888,2
891,1
892,2
895,1
898,1
916,1
925,1
926,1
927,2
931,2
941,1
949,1
953,1
956,1
959,1
960,1
965,2
970,1
971,1
972,1
976,1
977,1
980,2
984,1
985,1
986,1
989,1
993,1
998,1
1003,1
1004,2
1010,1
1012,1
1014,1
1018,1
1022,1
1039,1
1040,1
1042,1
1052,1
1054,3
1057,1
1059,1
1061,1
1063,1
1064,1
1065,1
1069,1
1072,2
1073,1
1076,1
1079,1
1081,2
1086,1
1096,1
1097,1
1098,3
1103,1
1107,1
1117,1
1119,1
1120,1
1121,1
1122,1
1125,1
1126,1
1136,1
1137,1
1138,2
1142,1
1144,1
1150,1
1157,1
1158,3
1159,1
1162,1
1165,1
1166,1
1167,1
1171,1
1174,1
1179,1
1184,2
1185,1
1187,1
1190,1
1191,1
1193,1
1195,1
1204,1
1206,2
1211,1
1212,1
1215,1
1216,2
1220,1
1222,1
1228,1
1229,1
1231,1
1234,2
1236,1
1238,1
1239,1
1240,2
1241,1
1242,1
1246,1
1255,4
1262,1
1264,2
1265,4
1271,1
1272,1
1275,1
1276,1
1277,1
1279,1
1280,1
1284,1
1285,2
1287,1
1289,1
1296,1
1297,2
1298,1
1299,1
1301,1
1304,1
1306,2
1307,1
1309,1
1310,1
1313,1
1318,1
1319,2
1320,1
1322,1
1323,1
1333,2
1337,1
1343,2
1344,1
1354,2
1357,1
1360,2
1364,1
1367,1
1375,1
1376,1
1377,3
1378,3
1379,1
1385,1
1386,1
1388,1
1390,1
1394,1
1399,1
1401,1
1406,1
1410,3
1411,2
1416,1
1418,1
1421,1
1426,2
1428,1
1432,1
1433,1
1434,1
1439,1
1440,1
1443,1
1444,1
1445,1
1446,1
1448,1
1449,1
1453,1
1456,2
1458,1
1459,1
1463,1
1464,1
1466,1
1470,1
1476,1
1480,2
1483,3
1485,1
1487,3
1488,1
1491,1
1492,2
1494,1
1497,1
1502,1
1503,1
1505,1
1511,1
1513,1
1515,1
1519,1
1520,1
1522,1
1524,1
1525,1
1528,1
1530,1
1534,1
1535,1
1539,1
1542,1
1544,1
1545,2
1552,2
1555,2
1557,2
1558,1
1562,2
1563,1
1565,1
1566,1
1571,1
1576,1
1582,1
1593,1
1599,2
1600,1
1603,1
1604,1
1610,3
1612,1
1614,1
1618,1
1620,1
1621,1
1623,1
1632,1
1634,1
1639,1
1648,2
1660,1
1661,1
1663,1
1666,2
1668,1
1670,1
1671,2
1675,2
1682,4
1685,1
1689,3
1690,1
1691,1
1692,4
1693,1
1697,2
1698,1
1706,1
1711,1
1712,1
1714,1
1715,2
1720,1
1721,1
1722,3
1723,1
1724,1
1726,1
1727,2
1732,1
1733,1
1734,1
1740,1
1744,4
1760,1
1761,1
1763,2
1770,1
1771,2
1775,1
1776,1
1779,1
1783,1
1792,1
1794,1
1802,1
1803,1
1807,1
1808,2
1819,2
1820,1
1821,1
1824,1
1825,1
1832,1
1841,2
1845,1
1846,1
1849,1
1851,2
1853,1
1856,2
1858,2
1861,1
1862,1
1863,1
1864,2
1866,1
1867,1
1868,1
1877,2
1878,1
1881,1
1886,1
1893,2
1895,1
1898,1
1902,1
1905,1
1908,1
1911,1
1912,1
1914,1
1922,1
1924,2
1925,2
1928,3
1929,2
1930,1
1939,1
1944,1
1948,1
1949,1
1950,1
1956,1
1957,3
1958,1
1961,1
1962,1
1966,1
1967,2
1972,1
1974,1
1978,1
1982,1
1988,1
1992,1
1999,2
2000,1
2004,1
2007,2
2008,1
2010,2
2013,1
2017,1
2030,1
2031,1
2034,1
2042,1
2043,1
2047,1
2048,1
2051,1
2055,2
2064,1
2069,1
