bucket index,bucket size
1,1
5,1
6,1
13,1
19,2
28,1
36,1
38,1
43,1
53,1
55,2
59,1
62,1
65,1
73,1
74,1
89,1
99,1
105,1
111,1
113,1
116,1
128,1
129,1
130,1
133,1
139,1
141,1
149,1
151,1
161,1
173,1
183,1
187,1
199,1
201,1
203,1
205,2
207,1
210,3
212,1
222,1
233,1
237,1
242,1
249,1
251,1
256,2
258,4
260,1
262,2
264,1
265,2
267,1
268,4
269,1
272,1
273,1
274,2
275,3
277,1
278,2
279,1
281,1
282,1
283,1
292,2
294,1
295,3
296,1
300,2
302,1
303,1
306,1
308,1
309,2
313,1
315,3
316,1
318,1
319,1
320,1
322,7
323,2
324,2
325,1
326,2
328,1
329,3
330,2
332,4
334,5
335,1
336,1
338,2
340,2
341,2
342,1
344,1
345,1
346,4
348,3
351,1
352,1
353,3
354,3
355,1
356,2
358,1
360,1
362,1
363,1
364,3
366,2
368,2
370,3
372,1
374,1
376,1
378,6
381,1
382,1
384,2
386,1
393,1
396,1
397,1
398,1
401,1
402,1
405,1
415,1
417,1
423,1
434,1
435,1
439,1
440,1
444,1
448,1
449,2
453,1
458,2
460,1
463,1
464,1
466,1
467,1
469,1
477,1
485,1
489,1
491,1
492,1
504,1
507,1
512,4
513,1
514,9
515,1
516,11
517,1
518,5
520,8
522,9
523,1
524,8
525,1
526,9
528,7
530,5
531,1
532,6
534,5
536,3
538,6
539,1
540,7
542,7
544,10
546,12
548,7
550,5
551,2
552,7
554,9
555,2
556,12
557,1
558,7
559,1
560,10
562,4
563,1
564,6
565,1
566,8
567,2
568,4
570,11
571,1
572,9
574,10
575,1
576,4
578,5
580,7
581,1
582,6
584,10
586,12
588,6
590,11
592,5
594,4
596,5
598,4
600,8
602,9
603,1
604,7
605,1
606,6
608,5
609,1
610,6
612,8
613,1
614,6
616,9
618,9
619,1
620,10
621,1
622,5
624,6
625,1
626,9
628,7
629,1
630,4
631,1
632,13
634,6
636,10
638,8
639,1
640,2
642,1
643,1
644,1
646,1
647,1
648,2
650,3
652,1
653,1
654,2
655,1
656,3
658,1
659,1
660,3
662,4
664,2
666,6
668,3
670,4
673,1
674,3
675,1
676,1
678,1
679,2
682,2
684,5
685,1
686,2
688,2
690,3
691,1
692,4
697,2
698,5
700,3
701,1
702,4
703,2
704,4
706,6
707,1
708,9
710,6
711,1
712,3
714,9
716,9
718,9
720,1
722,4
724,8
725,1
726,5
728,5
729,1
730,7
732,5
734,3
736,7
738,4
740,7
742,5
744,5
746,10
748,8
750,10
752,2
754,6
756,8
758,4
760,5
762,8
763,1
764,9
765,1
766,4
767,2
773,1
775,1
778,1
784,2
787,1
793,1
795,1
796,1
798,1
799,1
801,1
805,1
808,1
811,1
815,2
818,1
819,1
821,1
824,1
825,2
826,1
831,1
832,2
835,1
837,1
839,2
840,1
841,1
842,3
845,1
847,1
851,1
856,1
857,1
859,2
861,1
867,1
874,1
875,1
882,1
883,1
890,2
895,1
897,1
899,1
901,1
903,1
905,1
907,1
911,1
921,1
931,2
932,2
935,1
940,1
948,1
951,1
956,1
957,1
960,1
961,1
963,1
966,1
978,1
980,2
985,1
987,1
988,1
991,1
995,1
1000,1
1002,1
1010,1
1011,1
1013,1
1017,1
1019,1
1021,1
1024,13
1026,10
1027,1
1028,5
1030,5
1032,11
1034,14
1036,4
1037,1
1038,8
1039,1
1040,8
1042,16
1043,1
1044,14
1045,1
1046,2
1048,8
1050,8
1052,13
1053,1
1054,9
1056,6
1058,11
1059,2
1060,9
1062,6
1064,15
1066,9
1068,13
1069,2
1070,13
1071,1
1072,8
1074,15
1075,2
1076,16
1078,7
1079,1
1080,18
1082,12
1084,12
1085,1
1086,9
1087,1
1088,11
1090,13
1091,1
1092,8
1094,8
1096,9
1097,1
1098,13
1100,10
1102,7
1104,9
1106,18
1108,7
1109,1
1110,9
1112,10
1113,1
1114,12
1116,11
1118,9
1120,10
1121,1
1122,11
1124,11
1126,4
1127,1
1128,8
1130,7
1132,10
1134,5
1136,6
1138,13
1140,11
1141,1
1142,8
1144,7
1146,12
1147,1
1148,10
1149,1
1150,9
1151,1
1152,8
1153,2
1154,15
1155,1
1156,7
1158,8
1160,13
1161,1
1162,6
1163,1
1164,13
1165,1
1166,10
1168,6
1170,20
1171,1
1172,14
1174,11
1176,8
1177,1
1178,10
1180,5
1182,6
1183,1
1184,13
1186,9
1188,14
1190,8
1192,7
1193,1
1194,14
1196,10
1198,6
1200,7
1201,2
1202,13
1203,2
1204,7
1205,2
1206,8
1208,8
1209,1
1210,9
1211,1
1212,9
1213,1
1214,6
1216,12
1218,11
1220,8
1222,7
1224,12
1225,1
1226,11
1228,8
1230,6
1231,1
1232,11
1234,17
1235,1
1236,12
1238,6
1240,8
1242,13
1244,13
1246,9
1248,6
1250,15
1252,7
1254,12
1255,1
1256,10
