bucket index,bucket size
16,1
34,1
38,1
40,1
62,1
66,1
90,1
122,1
166,1
174,1
178,1
184,1
200,1
204,1
210,1
226,1
230,1
232,1
256,1
258,4
260,1
262,1
264,2
266,1
268,2
274,2
278,1
282,2
292,1
294,1
296,1
300,1
302,1
306,2
308,1
316,1
318,2
320,2
322,6
324,2
326,1
328,3
330,1
332,4
334,3
336,2
338,2
340,2
342,1
344,1
346,4
348,1
352,1
354,2
356,2
358,1
360,1
362,2
364,3
366,1
368,2
370,2
372,1
374,1
376,1
378,5
382,1
396,1
440,1
446,1
448,1
452,1
470,1
474,1
512,4
514,9
516,10
518,5
520,7
522,9
524,8
526,9
528,7
530,7
532,6
534,6
536,3
538,6
540,7
542,7
544,10
546,11
548,7
550,5
552,7
554,9
556,12
558,7
560,10
562,3
564,5
566,8
568,5
570,11
572,9
574,11
576,4
578,6
580,7
582,7
584,10
586,10
588,6
590,11
592,4
594,3
596,4
598,4
600,8
602,9
604,7
606,5
608,5
610,6
612,8
614,5
616,9
618,9
620,11
622,5
624,6
626,9
628,7
630,4
632,14
634,6
636,9
638,7
640,2
642,1
644,1
646,1
648,2
650,3
652,1
654,2
656,2
658,1
660,3
662,4
664,2
666,5
668,2
670,4
672,1
674,3
676,1
678,1
682,2
684,5
686,1
688,2
690,2
692,3
698,5
700,4
702,4
704,4
706,5
708,9
710,6
712,3
714,8
716,8
718,9
720,1
722,4
724,8
726,5
728,5
730,7
732,5
734,3
736,6
738,5
740,7
742,5
744,4
746,8
748,8
750,9
752,2
754,6
756,8
758,4
760,4
762,5
764,8
766,4
786,2
798,1
822,1
834,1
840,2
858,3
886,1
898,1
906,1
922,1
930,1
938,1
940,1
950,1
954,1
968,1
990,1
994,1
1000,1
1016,1
1022,1
1024,12
1026,10
1028,5
1030,5
1032,11
1034,14
1036,4
1038,8
1040,8
1042,16
1044,14
1046,3
1048,8
1050,8
1052,13
1054,10
1056,6
1058,9
1060,9
1062,6
1064,14
1066,9
1068,13
1070,12
1072,8
1074,15
1076,16
1078,7
1080,17
1082,13
1084,12
1086,9
1088,11
1090,14
1092,8
1094,7
1096,10
1098,12
1100,9
1102,7
1104,9
1106,18
1108,7
1110,9
1112,10
1114,12
1116,11
1118,10
1120,10
1122,11
1124,10
1126,4
1128,8
1130,7
1132,10
1134,5
1136,6
1138,13
1140,10
1142,8
1144,7
1146,12
1148,11
1150,9
1152,7
1154,14
1156,8
1158,8
1160,13
1162,4
1164,13
1166,9
1168,6
1170,19
