bucket index,bucket size
2,1
3,2
4,1
13,1
19,1
21,1
24,1
32,30
33,38
34,30
35,25
36,32
37,23
38,40
39,37
40,32
41,34
42,17
43,27
44,22
45,13
46,20
47,21
57,1
61,2
62,1
64,1
71,1
73,2
76,1
77,1
85,1
86,1
96,1
97,2
98,2
99,1
102,1
103,1
110,1
127,1
130,1
132,1
138,1
142,1
160,4
161,6
162,1
163,1
164,1
165,1
166,1
167,3
168,3
169,1
170,3
171,2
172,1
173,3
174,2
176,1
177,1
179,1
186,1
192,1
194,2
198,1
199,1
209,1
210,1
214,1
224,2
227,1
228,2
231,1
234,1
236,1
237,1
238,1
239,1
243,1
248,1
252,1
254,1
255,1
264,1
271,1
273,1
274,1
288,10
289,5
290,4
291,2
292,1
293,4
294,4
295,3
296,3
297,3
298,4
299,2
300,2
301,4
302,2
303,1
307,1
313,1
321,1
327,2
329,1
331,1
334,1
336,1
339,1
348,1
352,1
353,1
354,1
355,1
357,1
362,2
372,1
374,1
376,1
384,1
395,1
396,1
401,1
402,1
407,1
408,1
411,1
416,1
417,6
418,2
420,1
423,1
424,1
425,3
426,1
433,1
437,1
448,1
451,1
454,1
457,3
462,1
466,1
468,1
480,1
481,1
488,1
490,1
502,2
504,1
505,1
512,1
515,1
517,1
518,1
521,1
524,2
534,1
541,1
544,10
545,13
546,16
547,9
548,5
549,2
550,6
551,7
552,9
553,8
554,8
555,2
556,3
557,6
558,1
559,5
576,3
577,1
582,1
583,1
586,2
589,1
590,1
608,1
609,3
610,1
611,1
614,1
616,2
618,1
621,1
624,1
630,1
638,1
646,1
662,1
666,2
672,4
673,4
674,2
676,4
677,1
678,2
679,3
680,1
681,2
687,1
694,1
700,1
704,1
708,1
710,1
711,1
714,1
718,1
726,1
736,2
744,1
747,1
749,1
750,2
756,1
760,1
762,1
773,1
777,1
781,1
786,1
788,1
792,1
800,4
801,3
802,4
803,2
806,1
807,3
808,4
809,6
810,1
813,4
814,1
816,1
829,1
832,1
833,1
835,1
846,2
864,2
865,2
868,2
869,1
870,1
872,1
873,1
874,2
877,2
882,1
883,1
888,1
896,1
905,1
908,1
910,1
911,1
921,1
928,1
929,3
932,1
933,1
934,1
935,3
936,1
938,2
940,2
942,1
960,2
961,1
963,1
964,1
965,1
967,1
968,1
970,1
972,2
974,1
975,1
976,2
977,1
986,1
992,1
993,1
998,1
1001,3
1003,2
1005,1
1006,2
1010,2
1011,1
1017,1
1020,1
1027,1
1030,1
1031,1
1032,1
1045,1
1053,1
1054,1
1056,16
1057,23
1058,9
1059,11
1060,9
1061,5
1062,6
1063,13
1064,13
1065,13
1066,6
1067,10
1068,9
1069,13
1070,8
1071,8
1092,2
1096,2
1110,1
1112,1
1121,2
1122,1
1123,1
1124,1
1127,1
1130,1
1132,1
1133,2
1135,1
1138,1
1144,1
1155,1
1168,1
1169,1
1173,1
1175,1
1182,2
1184,4
1186,2
1187,1
1188,3
1189,1
1191,2
1192,2
1193,2
1194,1
1195,1
1196,1
1197,3
1199,2
1207,1
1213,1
1216,1
1217,1
1221,1
1222,1
1223,1
1224,1
1226,1
1227,1
1237,1
1245,1
1248,1
1250,1
1254,1
1255,1
1258,1
1261,2
1263,1
1265,1
1272,1
1275,1
1278,1
1279,1
1290,1
1296,1
1299,1
1301,1
1310,2
1312,2
1313,5
1314,1
1315,5
1316,3
1317,2
1318,4
1319,3
1320,3
1321,5
1322,3
1323,1
1324,3
1325,6
1326,2
1328,1
1331,1
1339,1
1340,1
1343,1
1344,1
1345,1
1349,1
1358,1
1361,2
1370,1
1373,1
1376,1
1377,2
1379,2
1383,1
1384,1
1389,2
1404,1
1405,1
1408,1
1437,1
1440,1
1441,1
1444,2
1448,2
1450,2
1460,2
1461,1
1462,2
1470,1
1473,1
1480,1
1483,1
1493,1
1502,1
1505,1
1513,2
1514,1
1516,1
1517,2
1518,1
1520,2
1524,1
1526,1
1531,1
1534,1
1536,1
1537,1
1540,1
1550,1
1568,5
1569,8
1570,5
1571,2
1572,3
1573,3
1574,2
1575,4
1576,8
1577,8
1578,5
1579,2
1580,1
1581,5
1582,2
1583,1
1588,1
1592,1
1604,1
1614,1
1632,2
1633,3
1634,2
1635,1
1638,1
1639,1
1645,1
1649,1
1650,1
1654,1
1655,1
1656,1
1662,1
1665,1
1674,1
1678,1
1680,1
1684,1
1696,1
1697,4
1698,2
1699,1
1700,1
1701,2
1702,1
1704,1
1705,1
1707,1
1709,1
1710,2
1711,1
1712,1
1714,1
1720,1
1721,1
1724,1
1729,1
1730,1
1731,1
1734,1
1738,1
1742,1
1744,1
1751,1
1754,1
1760,1
1761,1
1762,1
1767,1
1768,3
1769,2
1770,1
1771,1
1772,3
1775,1
1783,1
1787,1
1793,1
1798,1
1800,1
1814,1
1816,1
1822,1
1824,2
1825,3
1826,1
1827,4
1828,1
1829,1
1830,4
1831,4
1832,1
1833,2
1834,1
1836,2
1837,4
1838,5
1839,1
1840,1
1845,1
1856,2
1859,2
1862,1
1868,1
1877,1
1878,2
1880,1
1882,1
1883,1
1887,1
1889,1
1891,1
1892,1
1895,2
1896,1
1898,1
1900,1
1901,1
1909,1
1911,1
1916,2
1917,1
1923,1
1927,1
1934,1
1936,1
1942,1
1946,1
1949,2
1952,1
1953,3
1954,2
1955,5
1956,1
1957,3
1958,1
1959,2
1960,2
1961,5
1962,1
1963,2
1964,1
1965,2
1968,3
1970,1
1979,1
1985,1
1990,1
1991,1
2000,2
2016,1
2017,2
2019,1
2022,1
2025,1
2028,1
2029,1
2030,1
2031,1
2037,1
2048,1
2051,1
2055,1
2056,1
2061,1
2062,1
2065,1
2072,1
2074,1
2077,2
2080,24
2081,23
2082,24
2083,18
2084,16
2085,22
2086,20
2087,22
2088,23
2089,27
2090,16
2091,14
2092,13
2093,12
2094,14
2095,14
2096,1
2099,1
2107,1
2110,1
2115,1
2121,1
2125,1
2126,1
2129,1
2133,2
2141,1
2144,1
2145,2
2146,1
2150,1
2151,3
2152,1
2157,1
2159,1
2173,1
2175,1
2182,1
2184,1
2187,1
2190,1
2192,1
2208,1
2209,3
2211,2
2212,3
2213,1
2214,3
2215,1
2216,3
2217,2
2220,1
2223,2
2224,1
2229,1
2232,1
2238,1
2241,2
2250,1
2274,1
2277,1
2278,1
2280,1
2284,1
2285,1
2287,1
2289,1
2295,1
2297,1
2299,2
2302,2
2304,1
2309,1
2312,2
2314,1
2326,1
2328,2
2333,1
2336,6
2337,9
2338,5
2339,4
2340,3
2341,4
2342,4
2343,6
2344,3
2345,6
2346,1
2347,1
2348,2
2349,1
2350,4
2351,2
2353,1
2370,1
2376,1
2377,4
2380,1
2381,2
2394,1
2400,3
2401,6
2402,1
2406,1
2407,3
2409,1
2411,2
2413,1
2422,2
2425,1
2431,1
2437,2
2447,1
2452,1
2453,1
2455,1
2458,1
2464,3
2465,3
2466,1
2468,1
2469,2
2470,4
2471,2
2472,1
2473,4
2476,1
2478,2
2479,1
2484,1
2487,1
2488,1
2491,1
2500,1
2501,1
2507,2
2508,1
2512,1
2514,1
2517,1
2519,1
2520,1
2522,1
2527,1
2528,2
2530,1
2532,1
2536,2
2544,1
2551,1
2556,1
2570,1
2573,1
2574,1
2578,1
2589,1
2590,1
2591,1
2592,9
2593,15
2594,12
2595,9
2596,4
2597,6
2598,7
2599,13
2600,6
2601,8
2602,4
2604,1
2605,5
2606,4
2607,3
2615,1
2617,1
2621,1
2624,1
2625,1
2626,1
2635,1
2641,1
2654,1
2655,1
2657,1
2659,1
2663,1
2664,1
2665,1
2667,1
2668,1
2670,1
2676,2
2678,2
2680,1
2681,2
2685,1
2686,1
2689,2
2691,1
2694,2
2696,1
2698,1
2701,1
2702,1
2705,1
2709,1
2720,4
2721,2
2722,2
2723,3
2724,2
2725,3
2726,1
2727,2
2728,2
2729,2
2730,2
2732,1
2733,2
2734,2
2739,1
2747,1
2754,1
2761,1
2762,2
2763,1
2777,1
2779,1
2788,1
2792,2
2801,1
2805,1
2810,1
2815,1
2821,1
2826,2
2829,1
2830,1
2838,1
2839,2
2844,1
2848,3
2849,3
2850,2
2851,1
2852,2
2854,2
2855,3
2856,1
2857,3
2858,2
2859,1
2860,3
2861,1
2862,1
2863,3
2874,1
2880,1
2881,1
2884,2
2886,1
2887,1
2889,3
2891,1
2892,1
2894,1
2895,1
2896,1
2897,3
2910,1
2912,1
2913,1
2914,3
2915,3
2919,1
2921,1
2925,3
2926,1
2927,1
2929,1
2932,1
2936,1
2937,1
2941,1
2945,1
2948,1
2955,1
2958,1
2969,1
2970,1
2973,1
2976,2
2977,3
2978,1
2979,2
2981,1
2983,2
2984,1
2985,1
2989,2
2991,1
2998,1
3023,1
3028,1
3029,1
3030,1
3042,2
3043,1
3047,1
3048,1
3049,1
3052,1
3053,1
3055,1
3062,1
3067,1
3069,1
3072,2
3074,1
3076,1
3085,1
3098,2
3103,1
3104,11
3105,10
3106,10
3107,3
3108,8
3109,7
3110,5
3111,9
3112,7
3113,6
3114,4
3115,5
3116,3
3117,9
3118,7
3119,9
3128,1
3134,1
3136,1
3137,2
3138,2
3148,1
3149,2
3151,1
3159,1
3161,2
3164,1
3169,4
3171,1
3176,3
3177,2
3180,1
3181,1
3183,2
3186,1
3188,1
3190,1
3194,1
3198,1
3201,1
3209,1
3211,2
3233,3
3234,1
3235,6
3237,1
3239,1
3240,1
3241,3
3244,2
3245,1
3246,1
3249,1
3250,1
3257,1
3258,1
3259,1
3265,2
3270,1
3283,1
3289,1
3295,1
3296,2
3297,2
3298,1
3299,3
3302,1
3303,1
3310,1
3314,1
3315,1
3321,1
3323,1
3324,1
3325,1
3329,1
3337,1
3338,1
3344,1
3351,1
3353,1
3360,6
3361,5
3362,5
3363,4
3364,8
3365,2
3367,2
3368,3
3369,3
3370,2
3372,1
3373,3
3374,1
3375,4
3377,1
3393,1
3394,1
3397,1
3398,1
3400,1
3402,1
3406,2
3407,1
3408,1
3410,1
3413,1
3421,1
3424,3
3425,2
3427,1
3429,1
3430,1
3431,1
3432,1
3433,1
3434,1
3435,1
3436,2
3437,1
3447,3
3450,1
3456,1
3462,1
3466,1
3468,1
3476,1
3477,1
3478,1
3484,1
3485,1
3487,1
3488,1
3489,1
3491,4
3497,1
3498,1
3499,1
3501,2
3503,1
3507,1
3511,1
3512,1
3517,2
3521,1
3524,1
3527,1
3528,1
3529,1
3536,1
3539,1
3542,1
3543,1
3545,1
3547,1
3548,1
3551,1
3552,1
3554,1
3560,1
3561,1
3562,1
3564,1
3565,2
3570,2
3572,1
3576,1
3587,1
3596,1
3597,1
3598,1
3599,1
3608,1
3614,1
3616,10
3617,12
3618,12
3619,6
3620,6
3621,1
3622,5
3623,5
3624,8
3625,8
3626,2
3627,5
3628,5
3629,7
3630,5
3631,3
3633,1
3643,1
3644,1
3646,1
3651,1
3653,1
3654,1
3656,1
3661,1
3664,1
3674,2
3677,1
3680,2
3681,2
3682,1
3685,1
3686,1
3689,2
3693,2
3717,1
3719,2
3720,1
3722,1
3726,1
3729,1
3731,1
3736,1
