bucket index,bucket size
32,58
33,81
34,48
35,53
36,55
37,32
38,53
39,53
40,61
41,68
42,33
43,37
44,27
45,35
46,28
47,29
1056,28
1057,35
1058,16
1059,14
1060,34
1061,11
1062,18
1063,18
1064,28
1065,26
1066,16
1067,23
1068,19
1069,32
1070,11
1071,8
2080,30
2081,41
2082,20
2083,18
2084,29
2085,12
2086,20
2087,26
2088,24
2089,26
2090,13
2091,13
2092,6
2093,28
2094,11
2095,11
3104,32
3105,43
3106,20
3107,17
3108,32
3109,14
3110,19
3111,25
3112,37
3113,32
3114,16
3115,11
3116,11
3117,31
3118,12
3119,17
4128,39
4129,42
4130,14
4131,19
4132,33
4133,10
4134,21
4135,20
4136,36
4137,26
4138,14
4139,18
4140,13
4141,20
4142,14
4143,12
5152,20
5153,32
5154,18
5155,21
5156,36
5157,17
5158,23
5159,29
5160,24
5161,17
5162,26
5163,14
5164,10
5165,26
5166,5
5167,14
6176,34
6177,32
6178,18
6179,25
6180,33
6181,20
6182,17
6183,19
6184,29
6185,30
6186,10
6187,11
6188,12
6189,21
6190,18
6191,11
7200,32
7201,49
7202,19
7203,23
7204,40
7205,14
7206,16
7207,24
7208,26
7209,16
7210,17
7211,11
7212,13
7213,27
7214,12
7215,11
8224,26
8225,52
8226,21
8227,13
8228,29
8229,15
8230,16
8231,25
8232,33
8233,30
8234,20
8235,12
8236,8
8237,21
8238,11
8239,8
9248,24
9249,34
9250,15
9251,25
9252,29
9253,18
9254,14
9255,22
9256,37
9257,26
9258,16
9259,13
9260,16
9261,23
9262,16
9263,9
10272,24
10273,44
10274,14
10275,15
10276,27
10277,9
10278,15
10279,19
10280,27
10281,24
10282,17
10283,10
10284,10
10285,17
10286,12
10287,14
11296,26
11297,41
11298,25
11299,23
11300,27
11301,12
11302,15
11303,19
11304,26
11305,29
11306,16
11307,13
11308,11
11309,22
11310,7
11311,13
12320,37
12321,42
12322,23
12323,32
12324,25
12325,14
12326,16
12327,19
12328,23
12329,28
12330,14
12331,11
12332,9
12333,21
12334,12
12335,11
13344,23
13345,42
13346,14
13347,31
13348,35
13349,10
13350,14
13351,21
13352,45
13353,31
13354,14
13355,10
13356,13
13357,25
13358,13
13359,9
14368,23
14369,45
14370,17
14371,20
14372,20
14373,9
14374,17
14375,28
14376,31
14377,23
14378,12
14379,10
14380,14
14381,16
14382,23
14383,10
15392,27
15393,38
15394,25
15395,21
15396,27
15397,17
15398,14
15399,20
15400,33
15401,24
15402,12
15403,7
15404,5
15405,19
15406,11
15407,7
16416,38
16417,55
16418,22
16419,26
16420,35
16421,19
16422,16
16423,30
16424,31
16425,45
16426,18
16427,28
16428,18
16429,25
16430,10
16431,6
17440,26
17441,61
17442,33
17443,34
17444,35
17445,16
17446,21
17447,34
17448,30
17449,41
17450,23
17451,18
17452,9
17453,29
17454,15
17455,18
18464,30
18465,42
18466,18
18467,33
18468,39
18469,19
18470,13
18471,17
18472,26
18473,43
18474,24
18475,13
18476,11
18477,32
18478,21
18479,15
19488,34
19489,58
19490,25
19491,35
19492,40
19493,19
19494,26
19495,20
19496,34
19497,43
19498,18
19499,17
19500,13
19501,27
19502,14
19503,16
20512,32
20513,42
20514,31
20515,28
20516,44
20517,15
20518,18
20519,22
20520,33
20521,32
20522,16
20523,17
20524,17
20525,28
20526,20
20527,13
21536,36
21537,56
